Samples	Shannon	Simpson	Chao1	Observed_Genes	Samples	Group	Group1	Group2
2009_173	17.91774673643	0.9999861082981	1025490.608356	714310.2	2009_173	Gorilla	Dry	Habituated
HU100_S17	17.99703413808	0.9999880953854	1057257.697911	723932.3	HU100_S17	Human	Bantu	Human
HU109_S19	16.24415540344	0.9999674165223	544648.9994441	354912.3	HU109_S19	Human	Bantu	Human
2009_115	18.23065381364	0.9999886146956	1091231.65942	778111.2	2009_115	Gorilla	Dry	Unhabituated
HU506_S10	17.80397560508	0.9999867901601	999299.3782991	671353.2	HU506_S10	Human	BaAka	Human
HU123_S7	17.53349161819	0.9999844490176	932549.2294519	609565.1	HU123_S7	Human	BaAka	Human
HU119_S20	17.75589307909	0.9999569097296	1166126.340373	779712.7	HU119_S20	Human	Bantu	Human
HU538_S12	17.98714135135	0.9999884573863	1067124.295761	720881.3	HU538_S12	Human	BaAka	Human
HU108_S18	17.05931120491	0.9999810809399	721556.0053228	466893.3	HU108_S18	Human	Bantu	Human
HU500_S8	17.94613553542	0.9999868798741	1117384.793817	748758.8	HU500_S8	Human	BaAka	Human
2011_62	17.80129078117	0.9999610462194	1023474.992146	733214.3	2011_62	Gorilla	Wet	Habituated
2011_69	17.7173406631	0.9999816484539	967514.8856836	653326.8	2011_69	Gorilla	Wet	Unhabituated
HU124_S23	18.13807384726	0.9999893268889	1140528.288607	771434	HU124_S23	Human	Bantu	Human
HU107_S1	16.09804698319	0.9999516598756	551995.4547141	362745.7	HU107_S1	Human	BaAka	Human
HU99_S16	17.40980764359	0.9999828143025	875923.0817391	586237.4	HU99_S16	Human	Bantu	Human
HU508_S26	16.96444521665	0.9999689931872	818127.2582347	543372.6	HU508_S26	Human	Bantu	Human
2011_66	18.11922584232	0.9999872545804	1196077.578299	809836.8	2011_66	Gorilla	Wet	Habituated
2009_111	18.02952016325	0.9999800107348	1104111.09651	763311.2	2009_111	Gorilla	Dry	Unhabituated
2011_149	18.15488652668	0.9999846899749	1132829.679394	786183.9	2011_149	Gorilla	Wet	Unhabituated
2009_118	18.08943916731	0.9999857206803	990770.5914649	714470.4	2009_118	Gorilla	Dry	Habituated
HU117_S4	17.63024274461	0.9999853591042	922941.2693222	634525.5	HU117_S4	Human	BaAka	Human
2009_109	18.33041309379	0.9999897095431	1124915.848026	795020.4	2009_109	Gorilla	Dry	Unhabituated
HU114_S27	17.86946985377	0.9999877634957	1086640.386821	711809.3	HU114_S27	Human	Bantu	Human
HU115_S28	18.0737178612	0.999989452209	1072322.631057	741251.8	HU115_S28	Human	Bantu	Human
HU539_S13	18.23335150187	0.9999900931205	1153570.941891	783460.7	HU539_S13	Human	BaAka	Human
HU118_S5	17.43387475643	0.9999850701974	852453.2863488	574085.1	HU118_S5	Human	BaAka	Human
HU101_S15	17.05330009955	0.9999752232071	828657.1939412	546447.2	HU101_S15	Human	Bantu	Human
2011_118	18.09322186372	0.9999861103609	1172876.746656	788509.1	2011_118	Gorilla	Wet	Unhabituated
HU505_S21	17.62982585032	0.9999798602369	1105195.73076	742514.5	HU505_S21	Human	Bantu	Human
2011_119	17.79984474652	0.9999847815433	1019358.764132	667927.4	2011_119	Gorilla	Wet	Unhabituated
HU122_S6	18.48478630831	0.9999923096212	1270925.094443	871436.2	HU122_S6	Human	BaAka	Human
HU103_S22	17.46820013219	0.999983753424	776694.9199745	558356.1	HU103_S22	Human	Bantu	Human
HU540_S14	16.77836105835	0.9999442783317	819236.0171323	557460.1	HU540_S14	Human	BaAka	Human
2009_245	18.20367986507	0.9999862460889	1061010.57707	768409.5	2009_245	Gorilla	Dry	Habituated
2011_56	18.49564411996	0.9999876789412	1241631.002588	876957.2	2011_56	Gorilla	Wet	Habituated
2011_109	17.57635393454	0.9999414128598	1045686.911725	678881.6	2011_109	Gorilla	Wet	Unhabituated
HU113_S3	17.39107804303	0.9999802367228	934347.9636434	621076.1	HU113_S3	Human	BaAka	Human
2009_265	18.07386863821	0.9999838256761	1097024.884279	770376.8	2009_265	Gorilla	Dry	Habituated
2009_106	17.78691203679	0.9999762308123	939276.3248199	668888.7	2009_106	Gorilla	Dry	Habituated
2011_79	17.90954831944	0.9999841078689	1002862.4915473	699615.8	2011_79	Gorilla	Wet	Habituated
2009_107	18.04672585061	0.9999878407374	981310.6371592	701176.7	2009_107	Gorilla	Dry	Habituated
2011_70	18.06411373701	0.999983746982	1124987.957789	765947.6	2011_70	Gorilla	Wet	Unhabituated
2009_110	18.16225328744	0.9999863693715	1110801.511144	771432.6	2009_110	Gorilla	Dry	Unhabituated
2011_60	18.38560388303	0.9999916439886	1134100.433625	809086.4	2011_60	Gorilla	Wet	Habituated
HU502_S24	15.93120079919	0.9999645586269	418661.3212763	249449.4	HU502_S24	Human	Bantu	Human
2009_193	17.98646423186	0.9999834801346	1201607.558168	799568.6	2009_193	Gorilla	Dry	Unhabituated
HU504_S25	15.7321029141	0.9999416677603	387789.4006476	260692.4	HU504_S25	Human	Bantu	Human
HU503_S9	17.97438625525	0.999987269562	1165101.646296	760799.8	HU503_S9	Human	BaAka	Human
2011_85	18.11078591851	0.9999857024695	1092527.174493	761608	2011_85	Gorilla	Wet	Habituated
HU112_S2	17.02049154873	0.9999703972137	775632.4955767	523711.6	HU112_S2	Human	BaAka	Human
HU537_S11	18.33887902103	0.9999910560688	1258530.123687	853469.7	HU537_S11	Human	BaAka	Human
