Xeno	Log_Odds_Ratio	Group
Q99798	1.883733135	BaAka
O15067	1.741565945	BaAka
P00395	1.680039691	BaAka
Q99707	1.281170621	BaAka
P27144	1.113686976	BaAka
P27708	1.095377011	BaAka
Q06203	1.071871378	BaAka
P08236	1.029847559	BaAka
P26640	-0.971958464	Bantu
P26841	-1.064884296	Bantu
P00390	-1.082031618	Bantu
A0A0H2Z368	-1.120045392	Bantu
P31040	-1.161349866	Bantu
P09110	-1.209988615	Bantu
Q9UJ68	-1.218416838	Bantu
P11766	-1.367285841	Bantu
P71278	-1.396397904	Bantu
P52209	-1.417445529	Bantu
Q9NR19	-1.42210084	Bantu
Q9Y3D2	-1.436098953	Bantu
Q06278	-1.473017661	Bantu
P51649	-1.511069945	Bantu
P21399	-1.607293218	Bantu
P05091	-1.669538008	Bantu
P54687	-1.769086355	Bantu
P04179	-1.789668373	Bantu
Q8NE62	-1.803633959	Bantu
Q9UGM6	-1.887230637	Bantu
P03697	-2.073902594	Bantu
P04035	-2.163532421	Bantu
P34059	-3.022985523	Bantu
P04040	-3.148524236	Bantu
Q93L51	-3.199172655	Bantu
P07203	-4.404264201	Bantu
