contigName	Bin126	Bin148	Bin217	Bin245	Bin372	Bin487	Bin633	Bin727
2009_106	1114.118395	323.73587	198.954627	195.840885	326.104988	206.0004351	1254.19676	0
2009_107	80.6206747	319.7744858	273.83298	476.129561	2393.22768	129.392166	87.7675651	0
2009_109	18.52880922	91.7866246	99.2384295	50.5427542	1478.11646	1.80019385	153.5297917	0
2009_110	25.1917403	55.8915432	100.310048	101.345005	991.98335	3.14554119	123.5844056	0
2009_111	13.7515141	48.1964637	526.634881	16.9543048	517.128303	96.927486	347.053932	0
2009_115	45.08015137	145.7194416	50.8074382	40.7858076	1018.15813	0.69642366	136.7918137	0
2009_118	1232.2732	173.170611	356.999297	373.949995	150.5113853	352.470347	2797.21027	0
2009_173	449.996364	517.915369	495.870026	178.369328	3227.52831	793.22068	11276.8068	0
2009_193	25.9979194	180.889589	41.0980068	77.7243943	2748.75901	199.547268	8769.7553	0
2009_245	193.176073	94.3708	36.7050739	115.9643249	1051.95091	0.48539008	1248.57799	0
2009_265	126.4583669	218.457337	61.0020857	1657.64448	7557.5448	22.2554348	371.391089	0.00357037
2011_109	8.66653534	102.306327	41.4347306	45.1000099	62.8952647	537.153485	2485.73838	0
2011_118	39.2492531	2.10883035	109.653559	1128.12206	1032.33287	10.17215729	2576.40322	0.3229038
2011_119	11.6383449	60.9020523	33.3194075	42.9925409	281.911804	103.462112	1891.36915	2.88890223
2011_149	10.050728	81.2990121	334.130531	4.79777045	632.118274	90.925076	5677.429804	0.66290074
2011_56	37.4014129	74.95524	215.957275	77.1541755	1593.55166	915.70626	7432.531	0
2011_60	10.62214328	3.65704578	73.5560071	18.6692454	45.9757384	88.7397719	752.95658	0
2011_62	70.5040186	58.0741238	11.91948916	10.83867492	61.8117187	2.03024335	2296.98557	0.0178838
2011_66	32.5493606	30.1725506	344.118899	87.900408	162.20418	88.587126	1903.42208	0.13032743
2011_69	16.6061734	2.85625988	308.7494319	25.08082197	14.1910276	818.696451	125.8922528	0
2011_70	52.491133	125.6369	1939.057827	89.5931811	216.6987993	112.110286	6659.4153	0
2011_79	31.4044487	1180.31054	1443.93239	502.474759	626.649032	261.697227	12803.6578	0
2011_85	102.4318267	35.5312654	344.08345	44.4082599	1065.02874	208.299389	11894.5639	0
HU100_S17	8.1977603	0.87287215	0	0	0.0165576	0	0	262.6148352
HU101_S15	2.20535929	0.26792148	0	0	0	0.0123836	0.0396154	1300.665095
HU103_S22	10.52822793	0.92428444	0	0	0	0	0	3.42601656
HU107_S1	48.07898485	3.53747485	0	0	0	0	0	3.62903286
HU108_S18	1.48267973	0.06912881	0	0	0.14953	0	0.8250929	10.84452579
HU109_S19	0.02037299	0.025358	0	0	0	0	0	0.7625367
HU112_S2	49.04518259	5.18420622	0	0	0	0	0	2.60563669
HU113_S3	34.3980226	2.84917635	0	0	0	0	0	1.53365812
HU114_S27	1.41316342	0.2516225	0.54051	0	0.0043926	0.0570959	0	12258.43547
HU115_S28	3.27215476	0.4798394	0	0	0	0	0	6.22584591
HU117_S4	36.82987826	3.1609155	0.066608	0	0	0	0.023866	384.633932
HU118_S5	34.17465905	4.57684253	0	0	0	0	0	1.0169286
HU119_S20	3.55005008	0.45838803	0.0338753	0	0.0152924	0	0.0639609	1.8715598
HU122_S6	9.46121492	1.11572935	0.259816	0	0	0	0	89.0026329
HU123_S7	39.69435554	3.66006874	0	0	0	0.0122466	0	2049.76861
HU124_S23	9.781652	1.26041275	0.105665	0	0	0	0	3.6918686
HU500_S8	22.61316079	3.76036633	0.0447958	0	0	0	0.2509209	3.0604154
HU502_S24	0.16695705	0.0634068	0	0	0	0	0.0503921	0.0737561
HU503_S9	21.03442528	2.78094399	0.105393	0	0.00978975	0	0.0916762	0.554891
HU504_S25	6.00790459	0.30250794	0.10557523	0	0	0	0.0679422	0.8519274
HU505_S21	7.55778161	1.40820907	0.1966235	0	0	0.15758328	0	31367.5334
HU506_S10	30.50657305	3.2093124	0.38824687	0	0.0210947	0	0.2909184	76.5779447
HU508_S26	0.90002612	0.1090406	0	0.0085122	0.0672863	0	0.1111226	4.32299902
HU537_S11	13.81906489	1.17892847	0.63863423	0	0	0	0	21.420555
HU538_S12	16.42940571	1.73115929	0.403689	0	0	0	0.013208	11.8740675
HU539_S13	15.55374258	2.126568	2.0245569	0	0	0.0412877	0	9645.28926
HU540_S14	47.15813749	1.82161013	0	0	0	0	0	0.9582011
HU99_S16	6.85529644	0.7348047	0	0	0	0	0	160.0518537
