Pathway	X2009_106	X2009_107	X2009_109	X2009_110	X2009_111	X2009_115	X2009_118	X2009_173	X2009_193	X2009_245	X2009_265	X2011_109	X2011_118	X2011_119	X2011_149	X2011_56	X2011_60	X2011_62	X2011_66	X2011_69	X2011_70	X2011_79	X2011_85	HU100_S17	HU101_S15	HU103_S22	HU107_S1	HU108_S18	HU109_S19	HU112_S2	HU113_S3	HU114_S27	HU115_S28	HU117_S4	HU118_S5	HU119_S20	HU122_S6	HU123_S7	HU124_S23	HU500_S8	HU502_S24	HU503_S9	HU504_S25	HU505_S21	HU506_S10	HU508_S26	HU537_S11	HU538_S12	HU539_S13	HU540_S14	HU99_S16
Vitamin B6 metabolism	0.000261337881363305	0.000328109424177993	0.000286430828188826	0.000205466947531027	0.000233395649250596	0.000283896809476867	0.000302971151011819	0.000265837983192842	0.000228997016733558	0.000246408470292526	0.000247425738725484	0.000241128549922282	0.000184069934700231	0.000186339079771739	0.000288363319177562	0.00029799522120091	0.000286008117913754	0.000336341453595106	0.000385969778406501	0.000320521255606141	0.000343886744689168	0.000382079869520743	0.000283214072779962	0.000383182909003546	0.000433963933114833	0.000458980190115268	0.000536966767706586	0.000451215204766349	0.000442983707686585	0.000491696998933334	0.000547283872513888	0.00043358963580563	0.000462255949989932	0.000509063622668996	0.000493590957830427	0.000375571516290733	0.000379609701314984	0.000497254898594957	0.000362936618224324	0.000424445643789749	0.000391277024448409	0.000397060202236961	0.000387761799936189	0.000416301298105277	0.000449880890737371	0.000326537637850544	0.000436923114707275	0.000461640799378612	0.000511279992395482	0.000531793601234866	0.000497402538497178
Methane metabolism	0.000403644064684711	0.000462804613838813	0.000500097683335465	0.000372715166384692	0.000373576121166631	0.000517140155293752	0.000515706786821518	0.000419626858369513	0.000397263614682953	0.000435944702117531	0.000405982810577872	0.000480640212289335	0.000398632358665596	0.000328882473478393	0.000465553091407245	0.000536247557876451	0.000508122264916162	0.000503253037916082	0.000561987595825822	0.000539646701568821	0.000523735434728	0.000503965969284811	0.000440063643721694	0.000738470967325485	0.000655046530002312	0.000622740043492358	0.000547454022350778	0.000784084377711652	0.000680059654087044	0.000508713166764443	0.000633252603501828	0.000740766742408179	0.000729250074553131	0.000557185944898701	0.000589353622787532	0.00086589800633363	0.000574104761155011	0.000574529013576866	0.000655289393436057	0.000488749543924757	0.000686065038579884	0.000527437591505712	0.000564718504706546	0.000597856619388492	0.000497260585322233	0.000558091589872796	0.000669840414487099	0.000555884336484342	0.00061651710971386	0.00059974596361082	0.000645761246746253
Inositol phosphate metabolism	5.95706618119222e-05	7.09305694031299e-05	9.44681449350102e-05	6.56751738991223e-05	7.25909106710775e-05	0.000117936261130437	7.86206253074236e-05	7.25157362705231e-05	6.31000743409648e-05	7.55816313545177e-05	7.63242515354198e-05	5.45622366479142e-05	4.63984445246781e-05	4.2066170550338e-05	5.49268230520282e-05	6.29220532568462e-05	6.81114333160034e-05	6.54744124555732e-05	7.40621628929919e-05	4.85562591605473e-05	9.0493884975954e-05	7.14432598056499e-05	5.55698885118365e-05	0.000101272175208306	9.05387236519094e-05	9.04823790245673e-05	7.11913214694391e-05	0.000122042232390252	5.3866499843126e-05	8.69893569179176e-05	0.000101349945184753	0.000101058274328089	0.000189489013394639	9.17998730957619e-05	8.43029298359748e-05	0.000108476747916589	9.14272304745555e-05	7.6986397186857e-05	0.000105646404397533	5.98647448333653e-05	8.77597577384303e-05	6.52441589725266e-05	9.03027238877265e-05	7.48744666954489e-05	7.5555017647104e-05	8.98348456389232e-05	8.41833262424896e-05	8.38435606172881e-05	8.38924258346165e-05	9.79365822183367e-05	7.76643674693263e-05
Microbial metabolism in diverse environments	0.00220532285027448	0.00265284452287014	0.0028127238370336	0.00201633451088977	0.00210327315604886	0.00290172238578456	0.00281313067340085	0.00236273202464455	0.00214441433068301	0.0024749718384542	0.00223192153881016	0.00225684106252665	0.00191564989338769	0.00171157074516463	0.00245056094296634	0.00276498753384069	0.00280277875566044	0.00289807543834119	0.00324884865858916	0.0029168033520057	0.00288234721256958	0.00300484688848976	0.00243258301997112	0.00409223391806367	0.00364101262791553	0.00353450890796243	0.00349175316333586	0.00514339562978159	0.00385426651455772	0.00305634034647632	0.0033475441215132	0.00386096314705945	0.00429134980223824	0.0032626527826754	0.0032575520462418	0.00418654696315966	0.00315131765710415	0.00338919726578552	0.0033324520027502	0.00278785663293417	0.00488172996640496	0.00309120888172425	0.00433542079120303	0.00312996018784641	0.00302166621168847	0.00317047682041164	0.00365263426743693	0.00319110409827807	0.00353061912973543	0.00352998168535337	0.00367938696700726
Benzoate degradation	5.1247159998279e-05	6.48554751287511e-05	8.24973489533197e-05	5.39089762082267e-05	5.80440461200176e-05	8.63815605980818e-05	6.72646035024418e-05	7.44312157937179e-05	5.94847398885383e-05	7.00605059361691e-05	5.75817785043927e-05	4.71074768046726e-05	5.06053414610579e-05	4.17941048919273e-05	7.62504916151764e-05	6.72470367216921e-05	7.60308936828902e-05	7.94079220539476e-05	8.83135852534219e-05	8.88452446475649e-05	8.08954999230322e-05	8.15405273252302e-05	6.50803516911913e-05	9.64413493142778e-05	0.000105630059621579	0.00014189158940134	8.12586849844672e-05	0.000176677621495469	8.97149952140385e-05	7.52759489237714e-05	6.47126774012429e-05	8.4486130989564e-05	9.27067455149617e-05	9.0017492587138e-05	6.85987607339223e-05	0.00010645852537966	6.58026596501664e-05	6.51039544130531e-05	8.20480771106794e-05	7.28917065793611e-05	0.000159894851022087	5.81525284147809e-05	0.000112502846504402	6.81503815429671e-05	5.92725264450416e-05	6.72497650707138e-05	7.35417847750311e-05	5.72091679573417e-05	5.94166449898684e-05	6.95423651925362e-05	0.000142457892942109
Aminobenzoate degradation	2.04991648089396e-05	1.97229616051507e-05	3.21048775527011e-05	1.95686478800859e-05	1.9707410384063e-05	2.45804827009679e-05	2.74021924458884e-05	1.88790562467729e-05	2.35834191654169e-05	2.24572724107636e-05	1.7653166777559e-05	2.05842000643021e-05	1.80447873260551e-05	1.49636171498405e-05	2.40458443258346e-05	2.24762725550068e-05	2.38141609888475e-05	1.92162997528246e-05	2.28938192350802e-05	1.7101490205375e-05	3.88638742334577e-05	2.51513393447222e-05	2.1719964329772e-05	4.05785078104699e-05	2.63894647983974e-05	3.54555074866847e-05	4.3945808882886e-05	8.40204709025395e-05	8.6171150862923e-05	2.84502345954449e-05	2.2537960416615e-05	3.27974470394504e-05	3.52122955161582e-05	3.06707547941813e-05	2.91946325774414e-05	5.39103143384079e-05	2.22302309896475e-05	4.13388348285407e-05	2.38018891904426e-05	2.31115248790087e-05	5.77623856157575e-05	2.94137677326918e-05	8.81090276497523e-05	2.05311792641975e-05	1.97860658302218e-05	2.69526874841139e-05	3.10370414335597e-05	2.24767242750387e-05	3.07178465324616e-05	3.37078983025025e-05	3.67445418454143e-05
Galactose metabolism	0.000435189824020515	0.000601063356720768	0.000452808444486244	0.000328492217907009	0.000337769213631308	0.000506488539290263	0.000484050348741635	0.000526361736617244	0.000360949297683157	0.000438775704905026	0.000416102981985294	0.000396100149678999	0.000303602901468809	0.000280202743040224	0.000468556089250664	0.000417904553003792	0.000398027010706085	0.000495532550343315	0.000542635501225274	0.00058747817055672	0.000680649098167109	0.000569373526981375	0.000378862788869829	0.000932399359267606	0.000912642871503586	0.00089706170246125	0.000993339185026629	0.00130930934995455	0.00156925372299685	0.000783165831575905	0.000849188802312036	0.000691200383319564	0.00076913734573535	0.000849340305268713	0.00087450672121813	0.000854934514059277	0.000730728532511615	0.000996674970502516	0.000632428580517425	0.000592442956919946	0.00111836784195438	0.000616676417966246	0.00119104979495227	0.000697492719465863	0.000802436881378811	0.000676335106522362	0.000827947496681121	0.000856704648132665	0.000799539927167943	0.00106256928696292	0.00100979585370358
Valine, leucine and isoleucine degradation	6.19369973270375e-05	7.57016589954593e-05	0.000100695730742776	6.84691547147401e-05	7.86269032224316e-05	8.69261999218663e-05	9.1079414354814e-05	6.54119989647677e-05	7.55364476867405e-05	7.63124879388168e-05	6.25511476781267e-05	8.07366368631484e-05	6.96638786762967e-05	6.78302695981397e-05	8.16946372783323e-05	9.46751670306473e-05	9.48814918852375e-05	9.2061064081456e-05	0.000105868790414414	9.65847354926653e-05	9.94947803017967e-05	8.32369292310863e-05	8.07541992697609e-05	0.000138892640897788	0.000110738564684192	0.000128328064720356	8.60512530535809e-05	0.000198122753096382	0.000133516320528646	8.48709281753755e-05	9.28914638989962e-05	0.000138968678804439	0.000159812368236716	7.82138908684008e-05	8.10435223051768e-05	0.000148220705632566	9.28505313624536e-05	7.47777053055626e-05	0.000123634635704104	8.24496590547534e-05	0.000209678746151518	8.26304478777855e-05	0.000156096698503988	0.000112886076526009	7.39223100734822e-05	0.000134958008808058	9.8077734979809e-05	8.26959043356938e-05	0.000100946261968486	8.38978407741825e-05	0.000114837824155086
Ascorbate and aldarate metabolism	5.49703231200411e-05	7.72370068178533e-05	7.14288614408958e-05	5.61657047845165e-05	4.91552200134466e-05	6.74050836766345e-05	7.99287162698734e-05	7.01511270956855e-05	5.66527803148368e-05	6.25773695864078e-05	5.93575636505149e-05	6.21847361916931e-05	5.49877260090481e-05	5.65271544373726e-05	7.52117402454081e-05	8.49731915349697e-05	8.35241048536299e-05	0.000110575555784024	0.000127464179620564	0.000125513949409694	7.11320988928657e-05	0.000105493129324867	7.94334333344966e-05	0.000138440667576443	0.000104075549084778	0.00010978233979743	0.000173868813748535	0.000259109383322624	0.000114706211136351	0.000123429833841517	0.000116141701435195	8.95382872473131e-05	0.000115063510139825	0.000115592805596043	0.000103765474356506	0.000192223389167575	0.000105678193415365	0.000141782879784194	9.84638853341666e-05	7.63126441218842e-05	0.000261445999039042	0.000110301875536786	0.000271893004297587	8.40011064122682e-05	0.000116501756579363	6.78173809108394e-05	0.000103854220211721	0.000125838729062345	0.000108414870553673	0.000138520567193698	8.97528937788902e-05
Fatty acid degradation	4.89756334136004e-05	5.2172713177196e-05	6.37992391733211e-05	4.43366449105849e-05	5.90469887227e-05	5.92261812026102e-05	5.88213213890471e-05	4.71747705271759e-05	5.42268193953869e-05	4.84694821368803e-05	4.8575867280886e-05	5.13597501055576e-05	4.40937709940623e-05	4.32368203969391e-05	5.25534208012163e-05	5.78995179160506e-05	4.73462069238785e-05	4.65200508837292e-05	4.80327804344651e-05	4.27514888424102e-05	7.76463964245497e-05	4.91701582897824e-05	4.99760631004982e-05	0.000113392608368653	8.09452101867495e-05	7.30857002813196e-05	0.000113065583869036	0.000141549268951658	5.80215501236127e-05	8.18476394065704e-05	9.33425247651122e-05	0.000101920288509772	0.000112186466953594	8.57352173115788e-05	8.39278763525936e-05	0.000114832756701556	8.38350219093955e-05	0.000129035911307948	0.000109313960867487	8.30139263973074e-05	7.27206353818112e-05	0.00010691722283862	0.000130657314090254	8.67171723552619e-05	9.94253716049839e-05	0.000108541305065487	8.52638811945693e-05	8.31603730339857e-05	0.000104677188644644	9.73622972378712e-05	8.54006677665935e-05
