Bins	CBM	CE	GH	GT	Taxa
Bin.38	6.25	2.083333333	54.16666667	37.5	Prevotella
Bin.47	17.39130435	2.173913043	43.47826087	36.95652174	Prevotella
Bin.89	4.166666667	8.333333333	63.88888889	23.61111111	Prevotella
Bin.126	6.52173913	3.260869565	65.2173913	25	Prevotella
Bin.148	4.464285714	7.142857143	59.82142857	28.57142857	Prevotella
Bin.460	6.756756757	5.405405405	54.05405405	33.78378378	Prevotella
Bin.571	5.555555556	8.333333333	58.33333333	27.77777778	Prevotella
Bin.487	14.63414634	0	63.41463415	21.95121951	Treoponema
Bin.52	20	0	45	35	Treoponema
Bin.174	15.38461538	0	23.07692308	61.53846154	Treoponema
Bin.191	11.11111111	0	33.33333333	55.55555556	Treoponema
Bin.217	18.18181818	0	31.81818182	50	Treoponema
Bin.245	23.80952381	4.761904762	33.33333333	38.0952381	Treoponema
Bin.372	30.76923077	0	42.30769231	26.92307692	Treoponema
Bin.478	35.71428571	0	14.28571429	50	Treoponema
Bin.633	10	0	60	30	Treoponema
Bin.678	12.5	0	37.5	50	Treoponema
Bin.727	15.38461538	0	53.84615385	30.76923077	Treoponema
