Xeno	Log_Odds_Ratio	Group
P03697	3.263330946	Dry
Q99447	2.742306281	Dry
Q9Y3D2	2.178439012	Dry
Q8NE62	1.482407831	Dry
Q99798	1.410217361	Dry
P30085	1.175085721	Dry
Q9UJ68	1.068113744	Dry
Q99707	1.067484292	Dry
P32320	-1.089171738	Wet
P26640	-1.21486464	Wet
P00492	-1.220003783	Wet
P03886	-1.359543918	Wet
P49915	-1.427672904	Wet
Q06830	-1.942754871	Wet
Q13867	-2.053304321	Wet
O75828	-2.097274495	Wet
O94808	-2.097820135	Wet
P23921	-2.236178466	Wet
Q16881	-2.481868955	Wet
P48506	-4.761006406	Wet
