Samples	Group	Group1	Group2
HU100_S17	Human	Bantu	Bantu
HU101_S15	Human	Bantu	Bantu
HU103_S22	Human	Bantu	Bantu
HU107_S1	Human	BaAka	BaAka
HU108_S18	Human	Bantu	Bantu
HU109_S19	Human	Bantu	Bantu
HU112_S2	Human	BaAka	BaAka
HU113_S3	Human	BaAka	BaAka
HU114_S27	Human	Bantu	Bantu
HU115_S28	Human	Bantu	Bantu
HU117_S4	Human	BaAka	BaAka
HU118_S5	Human	BaAka	BaAka
HU119_S20	Human	Bantu	Bantu
HU122_S6	Human	BaAka	BaAka
HU123_S7	Human	BaAka	BaAka
HU124_S23	Human	Bantu	Bantu
HU500_S8	Human	BaAka	BaAka
HU502_S24	Human	Bantu	Bantu
HU503_S9	Human	BaAka	BaAka
HU504_S25	Human	Bantu	Bantu
HU505_S21	Human	Bantu	Bantu
HU506_S10	Human	BaAka	BaAka
HU508_S26	Human	Bantu	Bantu
HU537_S11	Human	BaAka	BaAka
HU538_S12	Human	BaAka	BaAka
HU539_S13	Human	BaAka	BaAka
HU540_S14	Human	BaAka	BaAka
HU99_S16	Human	Bantu	Bantu
