Sample	X2009_106	X2009_107	X2009_109	X2009_110	X2009_111	X2009_115	X2009_118	X2009_173	X2009_193	X2009_245	X2009_265	X2011_109	X2011_118	X2011_119	X2011_149	X2011_56	X2011_60	X2011_62	X2011_66	X2011_69	X2011_70	X2011_79	X2011_85	HU100_S17	HU101_S15	HU103_S22	HU107_S1	HU108_S18	HU109_S19	HU112_S2	HU113_S3	HU114_S27	HU115_S28	HU117_S4	HU118_S5	HU119_S20	HU122_S6	HU123_S7	HU124_S23	HU500_S8	HU502_S24	HU503_S9	HU504_S25	HU505_S21	HU506_S10	HU508_S26	HU537_S11	HU538_S12	HU539_S13	HU540_S14	HU99_S16
Melanoma	2.28E-08	8.53E-08	2.05E-08	0	3.93E-08	1.54E-08	7.02E-08	4.41E-08	2.47E-08	1.93E-07	4.40E-08	1.31E-07	3.92E-07	2.66E-06	5.11E-07	2.92E-07	4.80E-07	1.42E-07	8.02E-08	4.85E-07	1.68E-07	1.48E-07	4.41E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.12E-08	0	0	5.17E-09	0	0	0	0	0	0	1.03E-08	0	0
Purine.metabolism	0.027154745	0.026207389	0.027347171	0.027124472	0.027425656	0.027146882	0.027430893	0.02584604	0.027165285	0.027249902	0.02677963	0.026660592	0.025794859	0.025560881	0.025759454	0.026486473	0.026593827	0.026676069	0.027020478	0.025502266	0.027045609	0.026288997	0.026079926	0.027119966	0.026411474	0.02643099	0.025265399	0.024830215	0.026277944	0.026347387	0.026504806	0.026450565	0.026558145	0.026042858	0.026233917	0.02636072	0.02685759	0.026330096	0.027175594	0.026604087	0.026204924	0.026041988	0.024256805	0.026541447	0.0265967	0.026004525	0.026114059	0.026557754	0.027078778	0.024575334	0.025891941
Hepatitis.C	5.46E-06	5.36E-06	5.54E-06	7.09E-06	8.11E-06	4.08E-06	9.50E-06	2.56E-06	8.75E-06	7.63E-06	6.33E-06	1.96E-05	2.22E-05	8.69E-05	2.20E-05	1.54E-05	2.06E-05	8.62E-06	3.11E-06	2.04E-05	5.62E-06	2.53E-06	1.20E-05	4.78E-06	7.04E-08	0	0	4.73E-07	0	0	4.30E-07	3.94E-06	1.86E-06	0	0	1.17E-05	8.07E-07	0	3.22E-06	5.86E-07	7.29E-08	7.96E-07	0	9.22E-07	0	2.59E-07	3.08E-06	1.91E-07	1.23E-06	1.75E-07	4.41E-07
Circadian.entrainment	1.68E-07	1.04E-06	5.52E-07	6.36E-07	8.06E-07	2.40E-07	1.47E-06	7.45E-07	8.04E-07	3.29E-06	1.00E-06	2.10E-06	2.04E-06	3.89E-05	8.29E-06	4.65E-06	8.86E-06	4.03E-06	1.30E-06	1.05E-05	1.31E-06	1.34E-06	6.13E-06	0	0	7.92E-09	0	0	0	0	0	0	0	0	0	0	4.05E-08	0	3.98E-08	0	1.00E-08	1.43E-08	6.44E-09	0	0	9.01E-09	0	0	4.69E-08	0	0
Peroxisome	0.000691059	0.000648333	0.000591403	0.000517391	0.000747861	0.000517525	0.000617733	0.000570661	0.000614781	0.000501113	0.000628351	0.000635561	0.000612817	0.000521717	0.000547887	0.000540431	0.000427674	0.000467653	0.000455968	0.000477924	0.000778548	0.000584356	0.000539243	0.000586025	0.000577298	0.000605706	0.001245105	0.000809632	0.000769416	0.000976058	0.000986255	0.000690788	0.000633439	0.001063761	0.000979127	0.000631785	0.000778315	0.001232838	0.00067731	0.000834745	0.00111618	0.000948434	0.001458858	0.000815136	0.001221761	0.000730067	0.000880977	0.001010425	0.001035963	0.001108488	0.000673453
Renal.cell.carcinoma	6.53E-05	7.83E-05	8.03E-05	6.52E-05	8.03E-05	8.37E-05	7.40E-05	6.43E-05	6.78E-05	6.67E-05	5.26E-05	7.19E-05	6.79E-05	6.11E-05	6.15E-05	8.90E-05	0.000110123	0.000104446	0.000104685	8.90E-05	7.72E-05	8.88E-05	8.46E-05	6.50E-05	2.71E-05	6.64E-05	2.45E-05	5.80E-05	6.47E-06	3.19E-05	4.60E-05	8.14E-05	6.00E-05	2.68E-05	3.03E-05	7.30E-05	4.46E-05	1.96E-05	6.11E-05	3.40E-05	7.06E-05	4.84E-05	2.95E-05	6.66E-05	2.18E-05	4.45E-05	5.41E-05	1.71E-05	4.05E-05	2.91E-05	4.08E-05
Gap.junction	2.31E-06	1.78E-05	7.89E-06	1.09E-05	1.16E-05	3.56E-06	2.10E-05	1.09E-05	1.57E-05	5.35E-05	1.27E-05	3.77E-05	5.16E-05	0.000639913	0.000140816	7.16E-05	0.000158082	6.89E-05	7.75E-06	0.000118041	2.38E-05	9.88E-06	9.44E-05	4.45E-08	0	7.92E-09	4.80E-08	0	0	0	0	5.14E-08	0	0	0	5.95E-08	1.29E-07	0	3.98E-08	0	1.00E-08	1.43E-08	6.44E-09	0	0	8.56E-07	7.47E-08	0	2.01E-07	0	0
Polycyclic.aromatic.hydrocarbon.degradation	0.000144713	0.000128362	0.000146822	0.000117101	0.000136279	0.00017295	0.000186924	9.45E-05	9.64E-05	0.00015579	0.000135955	4.71E-05	8.53E-05	0.000105059	0.000106029	0.000120557	0.000186903	0.0002016	0.000292648	0.000207733	0.000262113	0.00019506	0.000117975	0.000139001	4.34E-05	8.00E-05	5.89E-05	0.000101493	0.000256174	7.81E-05	0.000116688	7.04E-05	0.000101841	0.000141006	0.000102641	5.32E-05	0.000106028	0.000172643	8.32E-05	8.94E-05	9.97E-05	5.38E-05	0.000187129	5.86E-05	0.000130705	6.61E-05	0.00010062	0.000110907	0.000142595	6.87E-05	9.03E-05
PPAR.signaling.pathway	0.00082743	0.000799683	0.000731066	0.000707986	0.000780263	0.00077985	0.000817436	0.000786684	0.000758752	0.000785895	0.000791185	0.000779086	0.000731341	0.000759371	0.000659105	0.000765324	0.000689829	0.000665688	0.000648072	0.000617656	0.000744108	0.000699286	0.000691537	0.000675725	0.000476627	0.000584977	0.000664603	0.000569952	0.000556739	0.000733929	0.000801002	0.000727568	0.000779651	0.000667565	0.000710271	0.000553059	0.000616617	0.000715574	0.0006644	0.000678677	0.000406839	0.000688991	0.00062529	0.000789287	0.000765056	0.000774582	0.000667918	0.000663706	0.00076736	0.000728139	0.000535152
Systemic.lupus.erythematosus	6.69E-06	2.09E-05	2.00E-05	2.99E-05	1.85E-05	9.25E-06	2.10E-05	1.14E-05	2.27E-05	6.87E-05	1.94E-05	3.97E-05	6.34E-05	0.000827121	0.000198357	9.48E-05	0.000211887	9.12E-05	1.59E-05	0.000189613	2.82E-05	1.70E-05	0.000142145	1.39E-06	6.19E-07	3.10E-07	2.91E-07	0	0	0	2.74E-07	4.63E-06	2.39E-06	0	0	7.07E-07	6.22E-07	1.07E-06	1.33E-06	9.91E-07	0	3.59E-07	0	1.62E-06	3.99E-07	4.91E-06	2.61E-06	5.17E-06	5.82E-06	3.69E-06	0
