Sample	Campylobacter	Spirochaeta	Olsenella_sp.	Dechloromonas_aromatica	Planctomycetes	Mycobacterium	Eubacterium_biforme	Acholeplasma	Butyricicoccus	Eggerthella	Rickettsia	Anaeromyxobacter	Anaerolinea	Atopobium	Chroococcales	Prevotella_oralis	Adlercreutzia	Thermodesulfovibrio	Solobacterium	Sphaerochaeta_pleomorpha	Faecalibacterium	Eubacterium	Bacteroides_coprophilus	Euryarchaeota	Thermobacillus	Chloroflexi	Paraprevotella_xylaniphila	Bulleidia	Candidatus	Desulfovibrio_desulfuricans	Faecalibacterium_cf.	Actinobacteria	X.Eubacterium._hallii	Prevotella	Echinicola	Bacteroides_uniformis	Slackia	Leptospira	Eggerthella_sp.	Anaerofustis	Firmicutes	Bacteroidetes.Chlorobi.group	Bacteroides_massiliensis	Clostridium_butyricum	Shuttleworthia	Prevotella_bivia	Prevotella_buccae	Prevotella_copri	Prevotella_dentalis	Prevotella_melaninogenica	Prevotella_multiformis	Prevotella_timonensis	Prevotella_veroralis	Prevotellaceae	Spirochaetaceae	Group	Group1
X2009_106	0.000449433	0.000361545	1.91E-05	1.36E-05	7.68E-05	0	0.000881659	0.000222244	0.000861568	0.000547109	0.000104476	0.000450979	0.000894745	0.000143526	3.43E-05	0.000846319	0.000219462	0	0.000590486	0.00011447	0.002976129	0.047487719	2.71E-05	0.00658066	1.64E-05	0.000438718	0.00016166	0.001049913	0.004977249	5.47E-05	0.00033929	0.034604488	0.006689566	0.057014318	4.27E-05	4.48E-05	0.000526708	0.000180824	3.96E-05	0.000192879	0.242839312	0.338676833	0.000271288	1.28E-05	0.000268506	0	5.59E-05	0.004916459	0.001695626	0.000686926	0.000264384	2.27E-06	0.000772753	0.002860731	0.000876611	Gorilla	Dry
X2009_107	0.00048455	0.000522431	3.70E-05	2.63E-05	0.000101957	0	0.000843226	0.000219378	0.000791139	0.001140585	9.55E-05	0.000785805	0.001071056	0.000210147	4.35E-05	0.000463811	0.000495279	0	0.000386848	9.16E-05	0.001468753	0.023658772	2.17E-05	0.002964539	2.14E-05	0.000764766	5.87E-06	0.000926123	0.002348723	2.80E-05	0.000100278	0.060642536	0.002624743	0.022241986	1.70E-05	2.61E-05	0.000787183	0.000175682	3.33E-05	0.000100458	0.342101918	0.190151165	0.000137561	5.11E-05	0.000239997	0	2.82E-05	0.001176669	0.00088914	0.000327748	0.000141097	0	0.00026637	0.001094073	0.00085953	Gorilla	Dry
X2009_109	0.000288474	0.00045765	6.50E-05	7.14E-06	5.15E-05	0	0.001568563	6.74E-05	0.000936548	0.002793991	0.000376144	0.000340054	0.001311556	0.000193587	1.91E-05	0.000357247	0.001386087	0	0.002055004	6.76E-05	0.002821565	0.025075926	3.71E-05	0.005334948	4.18E-05	0.001207342	0	0.002674449	0.005671677	0.000122948	0.000137465	0.074932492	0.003085871	0.023509309	1.78E-06	3.02E-05	0.002583778	0.000122705	0.000206482	0.000472734	0.347980583	0.202585125	0.000183449	3.32E-05	0.000445647	4.06E-07	3.33E-05	0.000790405	0.000905243	0.000223756	5.58E-05	0	5.63E-05	0.000988857	0.00070679	Gorilla	Dry
X2009_110	0.000469126	0.000767155	9.09E-05	1.44E-05	0.000188108	0	0.00164014	0.000124151	0.001094299	0.002046127	0.000450478	0.000524413	0.001938333	0.000257299	4.81E-05	0.000272675	0.00117265	1.60E-05	0.001301055	6.82E-05	0.003534963	0.028915347	4.27E-05	0.00785033	7.79E-05	0.001488018	0	0.002516725	0.009836426	0.000153758	0.000171751	0.053371873	0.00319097	0.026374904	7.20E-06	4.30E-05	0.002169624	0.000187945	5.95E-05	0.000496606	0.358389244	0.229881372	0.000381778	7.52E-05	0.000515907	6.54E-07	1.72E-05	0.001185409	0.000806575	0.000198904	0.000101578	0	0.000158992	0.000974564	0.000988468	Gorilla	Dry
X2009_111	0.000827186	0.001113444	9.46E-06	1.34E-05	6.67E-05	0	0.00118394	8.56E-05	0.002982204	0.001169291	0.000574956	0.001228496	0.002024859	0.000151826	1.80E-05	0.000290682	0.000694128	0	0.000458836	0.000127107	0.003215055	0.029884598	0.000164644	0.006515712	2.43E-05	0.001697097	2.99E-05	0.001041574	0.014487888	4.12E-05	0.000203707	0.042169098	0.003848605	0.02533393	6.71E-06	8.87E-05	0.001583266	0.000315707	5.86E-05	0.00035004	0.309541419	0.219667896	0.000494999	2.64E-05	0.000368198	0	3.25E-05	0.001490797	0.000637976	0.000192873	0.000165559	9.16E-07	0.000317843	0.001086283	0.0015175	Gorilla	Dry
X2009_115	0.001008407	0.000740442	0.000124224	2.03E-05	9.59E-05	0	0.002043083	1.53E-05	0.004784337	0.002886845	0.00054962	0.000569784	0.001715827	0.000272035	3.81E-05	0.000154193	0.001319013	0	0.001874553	0.000154193	0.003174512	0.029821264	0.00016446	0.006578232	4.04E-05	0.001160288	9.06E-06	0.003274779	0.005009198	7.85E-05	0.000118027	0.081779662	0.003496033	0.012377081	6.01E-06	7.47E-05	0.00306851	0.000233926	0.000105632	0.000464337	0.400751782	0.137694174	0.000283597	5.27E-06	0.000512436	7.40E-07	4.31E-05	0.000790021	0.000380904	0.000127924	4.40E-05	0	0.000141336	0.001170832	0.00107149	Gorilla	Dry
X2009_118	0.00070783	0.000613441	0.000169057	3.33E-05	5.19E-05	0	0.001731776	0.000315696	0.000953914	0.001988395	0.00026867	0.00024305	0.001018469	0.000442025	7.77E-05	0.000511636	0.000904444	0	0.000869133	0.000146302	0.002142704	0.018146445	2.38E-05	0.008913816	3.35E-05	0.000572905	3.30E-05	0.001328013	0.010646435	3.35E-05	0.00016223	0.09396082	0.001304584	0.034110746	8.63E-05	1.87E-05	0.001932268	0.000293869	0.000100456	0.000313842	0.2861543	0.263791132	0.00022274	7.33E-06	0.000427192	0	3.80E-05	0.00259619	0.001187694	0.00035008	0.00012043	0	0.000351176	0.002702208	0.001235984	Gorilla	Dry
X2009_173	0.000293471	0.000197404	3.18E-05	3.62E-06	5.71E-05	0	0.001539057	0.000198803	0.00155231	0.000689184	0.000107345	0.000334796	0.001471472	0.000175836	8.23E-05	0.000764425	0.000324177	0	0.000718161	2.29E-05	0.002796579	0.042985421	2.88E-05	0.002286853	2.61E-05	0.001064399	8.07E-06	0.000831022	0.001445294	2.96E-05	0.000260049	0.033881476	0.00512418	0.02982507	9.51E-05	5.47E-05	0.000639627	9.83E-05	3.57E-05	0.000107016	0.363451682	0.19048964	0.000127432	7.99E-06	0.000171802	9.06E-07	3.19E-05	0.001713493	0.001258592	0.000392008	8.92E-05	9.06E-07	0.00035447	0.001064646	0.000236588	Gorilla	Dry
X2009_193	0.000719923	0.000666969	5.58E-05	3.83E-05	0.000210569	0	0.000948683	0.000107652	0.002479983	0.001219184	0.000307008	0.000691639	0.001962531	0.000132322	5.62E-05	0.000400456	0.000464125	0	0.00054748	6.93E-05	0.004695447	0.016246608	5.06E-05	0.006307361	2.47E-05	0.001356615	3.24E-06	0.001118759	0.008654026	6.03E-05	0.000315356	0.046252863	0.003654811	0.016516236	4.88E-05	0.000144907	0.000850127	0.000206707	4.78E-05	0.000235863	0.309977996	0.224568582	0.000558694	0.000313362	0.000395845	6.23E-07	5.23E-05	0.00077811	0.000474715	0.000163721	0.000147772	2.24E-06	0.00010379	0.001148911	0.000787205	Gorilla	Dry
X2009_245	0.000829247	0.000626182	1.65E-05	5.87E-05	7.24E-05	0	0.002550345	0.000141262	0.000570935	0.002158262	0.000542843	0.001188288	0.000771993	0.00039235	0.000154773	0.000350346	0.00105144	0	0.001018399	0.000204402	0.003845115	0.023522967	0.0001426	0.004093394	5.31E-05	0.000508999	2.62E-05	0.001971651	0.003822507	0.000113037	0.000446929	0.060557344	0.000368272	0.025433886	5.89E-06	3.24E-05	0.001923494	0.000379241	4.45E-05	0.000196911	0.359639674	0.23002036	0.00026888	5.78E-05	0.000463249	0	3.37E-05	0.001777416	0.000495755	0.000298978	0.000258312	0	0.000297239	0.00119792	0.001463589	Gorilla	Dry
