Sample	Campylobacter	Spirochaeta	Olsenella_sp.	Dechloromonas_aromatica	Planctomycetes	Mycobacterium	Eubacterium_biforme	Acholeplasma	Butyricicoccus	Eggerthella	Rickettsia	Anaeromyxobacter	Anaerolinea	Atopobium	Chroococcales	Prevotella_oralis	Adlercreutzia	Thermodesulfovibrio	Solobacterium	Sphaerochaeta_pleomorpha	Faecalibacterium	Eubacterium	Bacteroides_coprophilus	Euryarchaeota	Thermobacillus	Chloroflexi	Paraprevotella_xylaniphila	Bulleidia	Candidatus	Desulfovibrio_desulfuricans	Faecalibacterium_cf.	Actinobacteria	X.Eubacterium._hallii	Prevotella	Echinicola	Bacteroides_uniformis	Slackia	Leptospira	Eggerthella_sp.	Anaerofustis	Firmicutes	Bacteroidetes.Chlorobi.group	Bacteroides_massiliensis	Clostridium_butyricum	Shuttleworthia	Prevotella_bivia	Prevotella_buccae	Prevotella_copri	Prevotella_dentalis	Prevotella_melaninogenica	Prevotella_multiformis	Prevotella_timonensis	Prevotella_veroralis	Prevotellaceae	Spirochaetaceae	Group	Group1
HU107_S1	2.40E-05	2.81E-07	6.98E-07	0	9.00E-08	0	0.005013261	7.43E-07	7.36E-05	2.54E-05	0	0	8.20E-06	2.41E-05	0	6.70E-06	1.09E-05	0	1.15E-05	0	0.01992798	0.003846578	0.000913722	2.62E-06	0	6.30E-06	0.000984188	1.44E-05	3.41E-06	2.03E-06	0.004252231	0.001779015	0.000626053	0.1735524	0	0.004485079	4.40E-05	0	1.45E-06	4.69E-06	0.042345337	0.105060795	0.001810225	8.90E-05	1.83E-05	0.00172425	0.000355108	0.103240328	0.001388861	0.000657464	0.000255256	7.86E-05	0.001887432	0.001299139	0	Human	BaAka
HU112_S2	7.68E-06	2.94E-07	4.35E-06	0	4.00E-07	6.71E-07	0.010274349	3.18E-06	0.000242465	9.23E-05	0	0	6.13E-06	2.05E-05	0	0	4.90E-05	0	9.32E-05	0	0.027379842	0.023294678	0.000966873	6.80E-06	0	2.09E-06	0.001410996	8.92E-05	8.97E-06	2.00E-07	0.003109701	0.003600551	0.000695638	0.130078232	0	0.008808743	0.000128304	5.17E-06	7.88E-07	6.54E-06	0.086398084	0.083055636	0.001581614	5.62E-05	1.08E-06	0.001865192	0.000427686	0.184934674	0.001053499	0.000434451	0.00022445	0.000256338	0.001419468	0.00135141	0	Human	BaAka
HU113_S3	8.20E-06	1.13E-06	1.68E-06	0	6.27E-07	0	0.00360222	4.50E-07	0.000154085	0.000145699	0	0	5.69E-06	1.91E-05	0	0	5.38E-05	0	0.000101269	0	0.022843	0.017340345	0.000715305	1.26E-05	1.08E-06	4.24E-06	0.001168261	0.000125761	1.55E-05	3.86E-06	0.004317075	0.003967311	0.001255456	0.161749426	0	0.006430631	8.00E-05	2.45E-06	8.32E-07	2.74E-05	0.076377751	0.10843145	0.000959914	4.04E-05	9.01E-06	0.001788407	0.000250759	0.114352914	0.00113005	0.000685808	0.000416558	0.000105687	0.00168246	0.001246429	0	Human	BaAka
HU117_S4	1.39E-05	4.11E-07	0	0	2.91E-06	0	0.00218674	3.18E-06	0.000115863	7.04E-05	0	3.22E-07	3.72E-06	5.92E-05	3.57E-07	2.13E-06	2.25E-05	0	5.67E-05	0	0.013620176	0.041822771	0.000804678	1.22E-05	1.41E-06	2.16E-06	0.001195469	6.74E-05	2.06E-05	3.04E-07	0.002275094	0.003308834	0.001428876	0.163844867	0	0.00417584	6.49E-05	0	0	1.51E-05	0.083483313	0.10593723	0.001036761	0.000121172	7.61E-06	0.00134726	0.000381926	0.14207501	0.000828719	0.000602534	0.000222574	0.000112717	0.001630358	0.00132851	0	Human	BaAka
HU118_S5	8.03E-06	0	3.07E-06	0	3.34E-06	0	0.003324919	1.25E-05	0.000141333	4.67E-05	0	0	7.96E-06	1.15E-05	0	1.34E-06	1.08E-05	0	0.000564432	0	0.011548636	0.021531076	0.000447565	7.13E-06	6.11E-07	2.75E-06	0.000767329	0.000516598	1.10E-05	1.05E-06	0.001607951	0.001731721	0.002126947	0.17727247	0	0.002217468	4.09E-05	2.90E-07	6.41E-07	9.87E-06	0.089206997	0.114731858	0.000697533	5.74E-05	1.82E-05	0.000961185	0.000245844	0.129816329	0.001310807	0.00070016	0.00029716	7.29E-05	0.002159203	0.001431018	0	Human	BaAka
HU122_S6	3.36E-05	7.66E-06	1.50E-06	0	2.58E-05	0	0.010540535	2.40E-06	0.000526598	0.000264172	0	1.68E-05	1.63E-05	2.50E-05	0	2.91E-07	8.51E-05	0	0.00032819	3.37E-06	0.028030672	0.026217844	0.000489666	0.00010723	7.69E-06	3.02E-05	0.000722968	0.000685649	6.38E-05	9.04E-06	0.003402781	0.008121814	0.003132402	0.095535667	0	0.006288325	0.00018153	1.37E-05	5.65E-06	9.21E-07	0.169379232	0.09861523	0.000786138	0.00010175	3.11E-05	0.001314239	0.000106673	0.039406449	0.000745108	0.000459936	0.00023226	0.000119209	0.001088769	0.001004042	7.59E-06	Human	BaAka
HU123_S7	2.12E-05	0	8.72E-07	0	5.65E-06	0	0.004600438	2.50E-06	0.0001496	5.73E-05	0	6.71E-06	4.39E-06	1.41E-05	0	1.00E-05	2.16E-05	0	0.000108581	0	0.033506011	0.030164854	0.001346186	8.93E-06	1.11E-06	1.63E-06	0.001885208	7.78E-05	5.80E-06	7.31E-07	0.007270274	0.001989007	0.002241659	0.173547152	0	0.004540134	5.41E-05	0	1.13E-07	9.76E-06	0.095243404	0.14570757	0.001402452	0.000209566	8.59E-06	0.001689132	0.00035835	0.10661043	0.001055483	0.000687666	0.000237081	9.84E-05	0.001269691	0.001545595	0	Human	BaAka
HU500_S8	1.12E-05	6.04E-06	0	0	1.04E-05	0	0.004931922	8.90E-06	0.000359893	8.49E-05	1.63E-05	3.41E-05	8.23E-06	1.54E-05	0	3.76E-05	1.95E-05	2.21E-06	6.16E-05	0	0.022344345	0.02741815	0.001562114	9.77E-05	2.68E-06	9.74E-06	0.001951493	0.000114246	4.64E-05	3.88E-06	0.006416016	0.0034928	0.000851232	0.162169807	9.92E-07	0.011470592	5.35E-05	6.83E-06	1.56E-06	1.38E-06	0.127776201	0.152570591	0.001696964	6.33E-05	4.06E-05	0.003054278	0.000341521	0.102540944	0.001280151	0.000818861	0.000208948	7.73E-05	0.002805566	0.001525482	1.18E-05	Human	BaAka
HU503_S9	2.07E-05	2.02E-05	1.57E-06	0	1.02E-05	0	0.001704525	7.83E-06	0.000412791	0.000120054	0	5.70E-05	1.13E-05	1.08E-05	0	1.95E-05	6.64E-06	0	2.48E-05	1.74E-06	0.023605188	0.015208551	0.000894448	4.62E-05	4.02E-06	1.24E-05	0.001197589	4.35E-05	0.000153136	8.59E-07	0.00497246	0.002700593	0.000526482	0.17311119	0	0.008581466	3.20E-05	4.55E-06	0	4.14E-06	0.122120212	0.126671952	0.001031473	3.99E-05	3.76E-05	0.00075212	0.000413448	0.155646051	0.00130176	0.000619086	0.00012657	0.000136999	0.001902688	0.001292138	3.84E-06	Human	BaAka
HU506_S10	8.31E-06	4.37E-07	2.15E-06	0	5.39E-06	0	0.004774486	1.26E-06	0.000163353	4.29E-05	0	1.75E-05	6.38E-06	1.07E-05	0	8.33E-06	2.16E-05	0	7.76E-05	0	0.023769922	0.014775915	0.000790235	1.17E-05	2.08E-06	6.54E-06	0.001054189	0.000120766	1.23E-05	3.01E-06	0.004895829	0.002560644	0.000831913	0.19846835	0	0.005212375	4.90E-05	3.32E-07	1.03E-06	0	0.080304543	0.171450527	0.000907049	2.62E-05	7.05E-06	0.001334426	0.00033372	0.121125314	0.001634269	0.00085054	0.000458369	0.000210296	0.001971627	0.001878757	0	Human	BaAka
