Taxa	X2009_106	X2009_107	X2009_109	X2009_110	X2009_111	X2009_115	X2009_118	X2009_173	X2009_193	X2009_245	X2009_265	X2011_109	X2011_118	X2011_119	X2011_149	X2011_56	X2011_60	X2011_62	X2011_66	X2011_69	X2011_70	X2011_79	X2011_85	HU100_S17	HU101_S15	HU103_S22	HU107_S1	HU108_S18	HU109_S19	HU112_S2	HU113_S3	HU114_S27	HU115_S28	HU117_S4	HU118_S5	HU119_S20	HU122_S6	HU123_S7	HU124_S23	HU500_S8	HU502_S24	HU503_S9	HU504_S25	HU505_S21	HU506_S10	HU508_S26	HU537_S11	HU538_S12	HU539_S13	HU540_S14	HU99_S16
Campylobacter	0.000449433015831538	0.000484549529275481	0.00028847420260443	0.00046912562867006	0.000827186149537724	0.00100840699905865	0.000707829611869357	0.000293471192077517	0.000719922849389349	0.00082924662830113	0.000713467765737868	0.000441257213343061	0.000231740317331652	0.000977155815689468	0.000135002731147377	0.000602146994874646	0.000533316029289804	0.000442588799502248	0.00016520388040912	0.000323681930486027	0.000145395750523636	0.000211634603104146	0.000742182601997866	1.91962392674692e-05	1.05754929790272e-05	1.496282038391e-05	2.39949700600284e-05	9.76808416209658e-05	1.05845998487491e-06	7.68367869213768e-06	8.19588196069878e-06	3.0389548788199e-05	4.98115972774309e-05	1.38885452998239e-05	8.03341926851961e-06	4.96124897404529e-05	3.36337609824393e-05	2.11704213006682e-05	6.91928006223039e-05	1.12487721874986e-05	2.34308620517618e-05	2.07077447546207e-05	1.46900877584457e-05	2.35622600819781e-06	8.30759029721032e-06	1.14907130085179e-06	3.98082247956998e-05	5.11942903905824e-05	7.73276577334861e-05	5.5226670295913e-06	3.38292874496038e-06
Spirochaeta	0.000361545266518309	0.000522431184706221	0.00045764968380568	0.000767154532239395	0.00111344352207651	0.000740441939778434	0.000613441093558405	0.000197403623731244	0.000666969022634334	0.000626182201496626	0.000816623652505897	0.00161342170961482	0.00176761595956468	0.00266711269149112	0.000511860280798996	0.00141078496393508	0.000411646973178062	0.000311173495350847	0.000316880386117019	0.000154519385542382	0.000148089188097659	0.000274940953945735	0.00070187904155148	6.10021335876443e-06	9.2676839236055e-06	1.50395527961352e-06	2.81366909709526e-07	0	0	2.94168403221197e-07	1.13187720921464e-06	8.62227406871441e-06	9.72016019229461e-05	4.11115240535329e-07	0	4.79198002779e-06	7.66277467227888e-06	0	2.94548697863209e-05	6.04142474198325e-06	0	2.01521711148626e-05	1.70009588288913e-06	1.36369186669148e-05	4.37241594590017e-07	1.26912352631391e-06	6.96133572068392e-06	1.22105438926e-05	3.055012027336e-05	3.14279608281896e-06	5.60011853050876e-07
Olsenella_sp.	1.90612351968901e-05	3.69825655075422e-05	6.50425387935771e-05	9.09462515831778e-05	9.46053150181498e-06	0.000124224050608674	0.000169056578331936	3.17755624521519e-05	5.58195632617563e-05	1.64538369545151e-05	3.64462439054236e-05	4.63344081475576e-05	7.85183242536598e-05	4.64215455504334e-05	5.3626642090241e-05	0.000145480986214525	0.000104432606495912	0.000147967908676652	0.000131091370292997	0.000295587496751047	3.15730737843779e-05	6.97736939923483e-05	8.14032406052902e-05	7.29997831298125e-06	5.97394259883977e-06	1.04202615801794e-05	6.97789936079626e-07	9.15112145738875e-07	0	4.35369236767373e-06	1.67736020160724e-06	0	5.20923996400493e-06	0	3.06980470146851e-06	1.47812319265165e-06	1.50345579013067e-06	8.72136957236829e-07	4.606213787379e-06	0	0	1.56570753022742e-06	0	2.56474158414452e-06	2.15122864538289e-06	3.17280881578478e-06	5.04237514078864e-06	0	2.29686112079662e-06	1.40059390647367e-06	4.93724735750975e-06
Dechloromonas_aromatica	1.36004488972405e-05	2.63133650855933e-05	7.13683717435758e-06	1.4394370754172e-05	1.34278511638664e-05	2.02569375154875e-05	3.32888077971659e-05	3.6220848391054e-06	3.82513525030338e-05	5.87254831140823e-05	2.13958976498357e-05	2.10065321912502e-05	2.78151958388471e-05	3.10067575241444e-05	1.17015740221847e-05	1.24405841393913e-05	1.48706624136574e-05	6.80667849636454e-06	2.87538399446253e-06	3.74592449799713e-06	8.72873287877743e-06	6.94056338130368e-06	3.93084108057331e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Planctomycetes	7.67601093063951e-05	0.000101956797290647	5.1498768246785e-05	0.000188108254173839	6.66814881660183e-05	9.59198365459382e-05	5.19136850710232e-05	5.71301563258897e-05	0.000210569334625821	7.23701283934362e-05	0.000270743526154574	0.000590223535910727	0.0003991083242934	0.000187457996917399	9.26764662557032e-05	0.000327374823722887	0.00032411284669767	0.000416135571709559	0.000186442512186401	5.53375209931395e-05	7.94564084336713e-05	0.000205482740107082	0.000286901641399819	2.11226224333948e-05	1.013955662722e-05	7.21284674916688e-07	9.00374111070485e-08	4.72315946187807e-07	2.82255995966643e-07	4.00069028380828e-07	6.27305441251487e-07	3.57586335610487e-05	2.82143699672052e-05	2.9135558350982e-06	3.34471258518212e-06	5.62640441073852e-06	2.58497398754725e-05	5.65482349692266e-06	1.98938638708963e-05	1.03921522613966e-05	1.20947668967329e-07	1.02276056410017e-05	0	6.8601624486467e-06	5.38681644534901e-06	3.89312216855753e-06	4.0094027435259e-05	5.13783689417271e-05	1.65448695367952e-05	3.30221327542573e-07	5.062964304113e-06
Mycobacterium	0	0	0	0	0	0	0	0	0	0	0	8.28257554969292e-06	1.27155180977587e-05	4.07517384603041e-06	0	1.4428805348883e-05	2.70375680248317e-05	9.74592602888558e-06	3.00608326693811e-06	4.85267491785994e-06	1.14720489263932e-06	1.20934058916656e-06	0	0	0	0	0	0	0	6.7070395934433e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eubacterium_biforme	0.00088165940313399	0.00084322646930325	0.00156856327033239	0.00164014040400094	0.00118393974068681	0.00204308326868533	0.00173177648461762	0.00153905677617988	0.000948683380971009	0.00255034472794984	0.00145744299010193	0.00030513488474376	0.00074433464064755	0.000934632262513497	0.000464184724925751	0.00056465482349566	0.000804029679138432	0.000531462363051372	0.000400527920501384	0.000403367960716147	0.00026181210788973	0.000604617714557659	0.00051140740033079	0.0198976624151394	0.00245178677151789	0.00706533635990519	0.00501326054108769	0.00030867323070705	0.000473141693810371	0.01027434921889	0.0036022196739378	0.00168218980159011	0.0054826828250344	0.00218673983898309	0.00332491921755474	0.00675554748574444	0.0105405345503106	0.00460043804907357	0.00391035182559702	0.00493192159664392	0.000213373678543636	0.00170452518012516	0.00353331557005992	0.010713884768621	0.00477448582662138	0.0481510267972519	0.00355718130984674	0.00320513482618723	0.00186103639154237	0.0103057863157375	0.00919603464064171
Acholeplasma	0.00022224369902536	0.000219377941260299	6.73944510442177e-05	0.000124151447754734	8.56025511696484e-05	1.52620762102988e-05	0.000315695883565021	0.000198803065600899	0.000107652014861958	0.000141262209950959	9.60781563667528e-05	3.32503395255789e-05	0.000137327595455794	6.43168741786538e-05	2.868557288867e-05	3.48222743262414e-05	5.57649840512154e-05	4.74147036167212e-05	3.10410772129479e-05	3.65227638554722e-05	3.78577614570976e-05	0.000101269129336295	5.64249846249384e-05	3.44721198113002e-06	1.59843328995983e-06	2.53216960343093e-06	7.42808641633152e-07	1.1202743848642e-05	3.32658852389259e-07	3.17701875478894e-06	4.50023468723892e-07	3.64991969779936e-06	1.16855923516868e-05	3.18167447022994e-06	1.24777633885561e-05	2.50327314884553e-06	2.40067940682155e-06	2.5038770707767e-06	4.25763544671248e-06	8.90433870553497e-06	0	7.82853765113707e-06	0	3.02347585122728e-06	1.25925579241925e-06	0	3.49087509746907e-06	0	6.1623103240885e-07	0	0
Butyricicoccus	0.000861567830899431	0.000791139193085981	0.00093654767828956	0.00109429932210694	0.00298220367212051	0.00478433715091813	0.00095391396318005	0.00155231031388661	0.0024799834534866	0.00057093476521846	0.00140000761466169	0.000424572024916868	0.000357782890475686	0.000517369896974295	0.000398655910401516	0.000633617696304887	0.000785441351121361	0.000580965479388568	0.000615332174814982	0.000544946879810902	0.000779051879049285	0.00039224699109489	0.000588830042373475	0.000622796297924159	0.000433837399002231	0.000374883873167338	7.35605648744587e-05	0.000180055694610783	6.36890493756162e-05	0.00024246536467104	0.000154085308276099	0.000621676539831698	0.00207223565768117	0.000115862999528261	0.000141333197549202	0.000278483177634902	0.000526597515136734	0.00014959962161635	0.000597288986732079	0.000359893082111054	4.0506473861422e-05	0.00041279121434028	0.000131940033815033	0.000479815191810971	0.000163353459738831	0.00031549724851447	0.000543902837554785	0.000278654020088412	0.000594774988280433	0.000255044734286156	0.00011658532475453
Eggerthella	0.000547108967002628	0.00114058547656892	0.00279399065333856	0.00204612708822656	0.00116929117578077	0.0028868448395359	0.00198839526877553	0.000689183960749783	0.00121918398775957	0.00215826183271664	0.00108923830278955	0.000958498054555045	0.00275370438804587	0.00259057029577438	0.00150609287586109	0.00275465208259069	0.0045027689849354	0.00302873988502438	0.00476045960137769	0.00462493973531124	0.000858159138167805	0.00327163435387483	0.00168608203615578	0.000168440240332864	8.64930013567155e-05	6.77700664772787e-05	2.54355686377412e-05	1.34314847197157e-05	3.06751784188034e-05	9.22629779862964e-05	0.000145698507268063	0.000233621309352621	0.000479475341119331	7.04079535855939e-05	4.66579769302801e-05	0.000146691806522348	0.000264171731898121	5.72937714004129e-05	0.000179468048537447	8.48955432026449e-05	4.76094006025942e-06	0.000120054412882277	5.50012501371727e-05	0.000168355476019373	4.29021452611727e-05	6.14667394366089e-05	0.000334144114592828	0.000128220937458475	0.000234447897330094	7.63152874893215e-05	3.81493788874249e-05
