Samples	Prevotella	Prevotella_copri	Faecalibacterium	Ruminococcus_sp.	Candidatus	Olsenella	Bacteroides_ovatus	Collinsella_aerofaciens	Prevotella_stercorea	Treponema	Bacteroides_sp.	Collinsella	Eubacterium_rectale	Lactococcus_lactis	Leuconostoc_citreum	Ruminococcus_bromii
X2009_106	0.057014318	0.004916459	0.002976129	0.00839395	0.004977249	0.003559299	0.00051589	0.000263663	0.000809227	0.009626542	0.000370921	0.002906581	0.00315345	9.65E-05	6.14E-05	0.000253051
X2009_107	0.022241986	0.001176669	0.001468753	0.009822857	0.002348723	0.007108864	0.000262954	0.000262055	0.000633379	0.004055195	0.000180657	0.00437635	0.002576852	5.02E-05	4.48E-05	0.000550483
X2009_109	0.023509309	0.000790405	0.002821565	0.00189921	0.005671677	0.00341084	0.000354977	0.000290907	0.000329268	0.002622463	0.000369737	0.002960652	0.000828116	0.000509067	0.000199913	0.000298125
X2009_110	0.026374904	0.001185409	0.003534963	0.001611352	0.009836426	0.001910689	0.000514435	0.000260244	0.000402388	0.003426678	0.000652817	0.001898258	0.001105422	0.000183692	0.000136092	0.000463564
X2009_111	0.02533393	0.001490797	0.003215055	0.000963753	0.014487888	0.001912401	0.000368656	0.000208284	0.000371707	0.00751685	0.000378879	0.001949022	0.001690841	0.000878151	0.000265353	0.000648352
X2009_115	0.012377081	0.000790021	0.003174512	0.00387037	0.005009198	0.005563813	0.00025335	0.000564419	0.000284522	0.004399363	0.000521038	0.004707194	0.00080223	0.000269168	5.77E-05	0.00090592
X2009_118	0.034110746	0.00259619	0.002142704	0.002655688	0.010646435	0.009741738	0.000465622	0.000823961	0.000530093	0.006501936	0.000227628	0.009674317	0.004263496	9.94E-05	4.86E-05	0.000343928
X2009_173	0.02982507	0.001713493	0.002796579	0.012171193	0.001445294	0.004604987	0.001436815	0.000135746	0.000511619	0.007548507	0.00018876	0.002789582	0.005393778	9.43E-05	5.64E-05	0.000289108
X2009_193	0.016516236	0.00077811	0.004695447	0.005465832	0.008654026	0.003403249	0.001042007	0.00027673	0.00058623	0.006703954	0.000745091	0.002676224	0.002317633	0.000333173	0.000189263	0.00324065
X2009_245	0.025433886	0.001777416	0.003845115	0.00333946	0.003822507	0.003701712	0.000221525	0.000305132	0.000571202	0.004534303	0.000343256	0.003487411	0.003197797	0.000116247	0.000129223	0.000493749
X2009_265	0.038821433	0.001872995	0.002680751	0.004623873	0.006212702	0.00467057	0.00052603	0.000179384	0.000863564	0.005532914	0.000373167	0.003125265	0.001955243	0.000209403	6.61E-05	0.000324925
