ARDB_Gene	X2009_106	X2009_107	X2009_109	X2009_110	X2009_111	X2009_115	X2009_118	X2009_173	X2009_193	X2009_245	X2009_265	X2011_109	X2011_118	X2011_119	X2011_149	X2011_56	X2011_60	X2011_62	X2011_66	X2011_69	X2011_70	X2011_79	X2011_85	HU100_S17	HU101_S15	HU103_S22	HU107_S1	HU108_S18	HU109_S19	HU112_S2	HU113_S3	HU114_S27	HU115_S28	HU117_S4	HU118_S5	HU119_S20	HU122_S6	HU123_S7	HU124_S23	HU500_S8	HU502_S24	HU503_S9	HU504_S25	HU505_S21	HU506_S10	HU508_S26	HU537_S11	HU538_S12	HU539_S13	HU540_S14	HU99_S16
Q8NE62	0	0	0	0	0	0	0	0	3.30238221341033e-07	0	0	0	0	1.01480588680946e-07	0	0	0	0	0	0	0	0	0	0	1.48067061324201e-07	1.42819412178746e-07	5.0572877579433e-07	3.92522273336123e-06	1.36092782343105e-07	1.11192947061019e-07	0	1.42249706129888e-07	5.91877130594125e-07	3.07828018410039e-07	1.26269506382984e-07	3.2866128084861e-07	2.62647414144281e-07	0	1.13228999258279e-07	0	0	0	0	0	0	1.16138771992661e-07	0	0	0	0	0
P94692	0.000132411989850952	0.000157926247396651	0.000146974320782506	0.000116659445699593	0.000114850077049061	0.00016209858856493	0.000184040288363053	0.000120933507491583	0.000129165005727331	0.000186486309707811	0.000148394804291513	0.000136266069730282	0.000119837511873771	0.000110618070020093	0.000174932554737544	0.000198072300810144	0.000215736123845227	0.000234002239924698	0.000217784477282776	0.000192908040014529	0.000158872779158293	0.000179536458547358	0.000155206798967385	0.000364886562922314	0.000300557626105461	0.000286942051493622	0.000254935214147523	0.000276112953254269	0.000357209530455064	0.000260677965266178	0.000267720119492516	0.000436439879619764	0.000466891371469402	0.000218551479987412	0.000218172662112066	0.000292440068855086	0.000309234499228123	0.000292767863412415	0.000351104255200048	0.000282010259923085	0.00037398301660598	0.000295060468811319	0.000270108355040168	0.000288708280138321	0.000240867741034627	0.000382323998284341	0.000339332560030161	0.000263283673841373	0.000352486666093024	0.000279957411050862	0.000300697197083168
P42898	0	0	0	0	0	0	0	0	0	0	0	0	5.88869963784893e-07	8.45671572341214e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.39803701006822e-07	0	0	0	0	0	0	0	0	0
P00492	0	0	0	0	0	0	0	0	0	0	1.40277656646126e-06	5.17297105270478e-07	0	3.93237281138664e-07	0	2.70455498096364e-07	0	0	1.77056660136291e-06	0	1.06800378431265e-06	0	0	0	4.81217949303652e-07	0	0	0	0	0	0	4.143022691033e-06	3.80670449255801e-06	0	0	0	0	0	3.97716859894706e-06	0	0	0	0	0	0	0	0	0	0	0	0
P00512	6.01313260100436e-05	6.40112362372115e-05	5.17499043130182e-05	4.09860477450733e-05	3.49572380722478e-05	7.57203867417929e-05	9.26432942203653e-05	7.32671416265855e-05	5.09822696354798e-05	6.96710557636051e-05	5.67442077573665e-05	4.83088748309043e-05	3.52381765723716e-05	2.92982916237614e-05	6.03230962254996e-05	4.76176164067728e-05	5.00190699926232e-05	6.95641676248685e-05	4.83891066837344e-05	7.59839469034305e-05	4.12826760087555e-05	7.30715067165859e-05	4.64769372062583e-05	0.000174061523614062	0.000201840082428439	0.000200845749185202	0.000103807485557784	0.00026769194126063	0.000249758608262585	0.00012732982350325	0.000136257936535729	0.000184859420186878	0.000217200216071288	0.000138913806391247	0.000151223517581921	0.000187227376323425	0.000161073998545109	0.000149558105575998	0.000168984845643044	0.000117665794359756	0.00025459436936814	0.00013848663733144	0.000196792943975024	0.000168586779808156	9.70661045960436e-05	0.0002310338913019	0.000159484354029352	0.000133168387256585	0.000131046849679112	0.000173040710400155	0.000237577739325554
P05166	5.03889838408742e-05	4.40018524163e-05	3.96812560932487e-05	3.47262997525118e-05	3.75782067236879e-05	3.44119382705941e-05	5.76376545883804e-05	4.11879845640726e-05	5.32427735167719e-05	4.28168397834494e-05	4.11278924134371e-05	5.15350288207632e-05	4.62238179135688e-05	4.56112962542234e-05	4.85593304959242e-05	5.99684174865068e-05	4.93436170218628e-05	5.14027842650875e-05	5.9510179066349e-05	4.82667390974626e-05	3.62659447192004e-05	4.84699879376919e-05	6.05646010828157e-05	6.794191606699e-05	3.73560856799181e-05	0.00010186594573649	0.000129317509701009	1.91586615724654e-05	1.99886274066435e-05	9.76413066379576e-05	0.000110969835490454	0.000124071379100707	9.52423757409725e-05	0.00011406952007207	0.000128584447333339	6.40273257753198e-05	9.9045434238034e-05	0.000137381098274553	0.000111823072517489	0.000106530049910324	0.000245164660833136	0.000107779773417516	0.000176378592731164	0.000147495018472153	0.000136114368107691	0.000158422963228989	0.000126194329018079	0.000128634995349978	0.000168559165804509	0.000124638326560355	7.06059978864601e-05
P52209	1.46271274826098e-05	2.11695849244515e-05	2.84692920134849e-05	2.44658772651489e-05	2.63085909918143e-05	4.17462474122611e-05	2.51990951960743e-05	1.79328296183372e-05	1.89259059526291e-05	2.65145856864686e-05	2.44348512725481e-05	1.24485045332831e-05	9.27841329493004e-06	1.33912093480231e-05	1.36367263409287e-05	2.88049646090805e-05	3.30260952545465e-05	2.30791186997047e-05	2.05385725758097e-05	1.91686027887062e-05	3.65141834366353e-05	1.32462533261951e-05	2.12252915632834e-05	2.43525473892883e-05	1.36591864071575e-05	1.70847721818824e-05	1.97287457167767e-05	8.76678905754042e-05	2.70881342188754e-05	8.27460847712419e-06	7.51711267619953e-06	4.08375198014554e-05	6.13745432998182e-05	7.798309799721e-06	4.5825308358158e-06	4.72313649019523e-05	1.00462635910188e-05	6.89351082797322e-06	2.05982421150686e-05	1.40872623436363e-05	5.13628074770868e-05	2.01315206995227e-05	6.42924380601318e-05	1.38840504279655e-05	8.98760227741142e-06	1.65788097019523e-05	1.52959714304492e-05	5.76504047307055e-06	2.36263038847147e-05	8.97408307975456e-06	5.53148960773345e-06
P27144	0	0	0	5.1747250071841e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.89294337234063e-07	0	0	0	0	4.83259091832598e-07	0	0	0	4.89282565290181e-07	0	0	0	0	0	0	0
Q6IA69	0	0	0	0	0	0	0	0	0	0	0	0	1.64784620117958e-06	0	0	8.14274617924537e-08	0	0	0	0	0	0	0	0	0	0	0	1.92480274140305e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P00558	8.93093412936709e-06	5.12694501740382e-06	8.79646807675846e-06	2.64300470797037e-06	6.9617762712257e-06	4.2226413992781e-06	6.3556338622611e-06	5.77469505616963e-06	6.9303514056076e-06	5.89082888705554e-06	6.76365782315374e-06	7.78726825138354e-06	1.17477083531541e-05	5.69136968185637e-06	3.10537852543787e-05	7.93336127749335e-06	9.59854221606841e-06	4.40417437088094e-06	6.20655373504781e-06	1.01761278955482e-05	7.487572477046e-06	1.12245304886053e-05	8.94033621786068e-06	9.55499255204714e-06	9.13080211499237e-06	7.56942884547352e-06	6.62238523250681e-06	1.42366659908776e-05	2.67195496000296e-05	6.28240150894759e-06	9.29883268893262e-06	1.22571830115254e-05	7.76916612474605e-06	1.21976852294978e-05	5.66634409893641e-06	1.3495653844846e-05	1.24155621394453e-05	6.66933161405538e-06	9.84620506050121e-06	4.25579780871933e-06	3.60967690504579e-05	9.44227072714364e-06	1.03849311944481e-05	8.30728140422792e-06	6.86226654129408e-06	3.29543765529175e-06	1.54088189728603e-05	1.4236238359779e-05	1.487582096445e-05	1.15020663225311e-05	5.47414145911416e-06
P32320	2.67928023881013e-06	4.22002725336904e-06	6.77840286035353e-06	3.16604142912662e-06	2.54404294678571e-06	2.79626420420423e-06	3.59987074229633e-06	6.54539903852109e-06	3.30238221341033e-06	4.49717354399468e-06	8.61001508765814e-06	1.8617133455272e-05	4.64168089101034e-06	3.88163251704617e-06	1.34351741491558e-05	1.06757218657178e-05	5.19032282794811e-06	8.42447488611383e-06	9.0490309275061e-06	2.74322543053926e-05	9.11555662394421e-06	7.47056937677555e-06	8.97693943676697e-06	6.21391606343861e-05	4.59378057758332e-05	3.60499999574517e-05	2.91512713289448e-05	5.74691104218912e-05	3.3444801260818e-05	4.2827816776336e-05	3.10234937087415e-05	5.15358831166409e-05	3.65966975274725e-05	1.430758977235e-05	3.52870658046114e-05	4.37667272330066e-05	2.63577623736042e-05	1.86578245765247e-05	3.42045935259385e-05	3.69667223580333e-05	6.83595660710457e-05	3.42919292439756e-05	8.44714509403758e-06	5.46049865069548e-05	1.92646113253208e-05	4.09969865134093e-05	4.06353741354858e-05	2.10363262196897e-05	3.5972613666203e-05	1.88852190112104e-05	3.12182467211196e-05
P22033	1.82866321990334e-05	2.21541217763991e-05	1.82994797741401e-05	1.1417780338432e-05	1.31542954959071e-05	1.5647781506355e-05	1.85703676912942e-05	1.46266212302788e-05	2.96377175547192e-05	3.01626834962456e-05	1.34097857177661e-05	1.70429928015994e-05	2.31292286616016e-05	3.37000121577974e-05	1.62667366482095e-05	2.30381554399935e-05	2.60938147651638e-05	1.92403801432243e-05	2.70800983705748e-05	2.87803035581146e-05	1.20482372857325e-05	2.15105706992531e-05	2.78916528065909e-05	3.04195448725571e-05	2.61523447063869e-05	0.000103228680961029	6.88323481160073e-05	5.1027895533696e-05	1.44768697217477e-05	6.03036416227595e-05	3.49874356390872e-05	5.20337570880954e-05	4.47708322152567e-05	3.61377267445953e-05	4.11112467865266e-05	6.44586937064336e-05	5.28742075599206e-05	1.86629195586592e-05	5.3104400652133e-05	4.35141036022169e-05	0.000250822485954139	4.0035227883089e-05	0.000113788602407827	6.26492127685536e-05	3.46336843990949e-05	9.50402284139942e-05	2.96840330878638e-05	3.54229066580042e-05	3.63408033847059e-05	4.01697052141395e-05	4.35793794826049e-05
