Samples	Bin126	Bin148	Bin217	Bin245	Bin372	Bin487	Bin633	Bin727	Group	Group1	Group2	GroupNew
HU107_S1	87.02788702	6.403191801	0	0	0	0	0	6.568921177	Human	BaAka	Human	BaAka
HU112_S2	86.29393962	9.12149889	0	0	0	0	0	4.584561487	Human	BaAka	Human	BaAka
HU113_S3	88.69845898	7.34686277	0	0	0	0	0	3.954678251	Human	BaAka	Human	BaAka
HU117_S4	8.671664749	0.744243555	0.01568298	0	0	0	0.005619295	90.56278942	Human	BaAka	Human	BaAka
HU118_S5	85.93414147	11.50873321	0	0	0	0	0	2.557125326	Human	BaAka	Human	BaAka
HU122_S6	9.476434721	1.11752417	0.260233954	0	0	0	0	89.14580715	Human	BaAka	Human	BaAka
HU123_S7	1.896406596	0.174860592	0	0	0	0.000585084	0	97.92814773	Human	BaAka	Human	BaAka
HU500_S8	76.06263033	12.64853493	0.150677139	0	0	0	0.844008665	10.29414894	Human	BaAka	Human	BaAka
HU503_S9	85.58539791	11.31517476	0.428825686	0	0.039832781	0	0.373014425	2.257754438	Human	BaAka	Human	BaAka
HU506_S10	27.4848625	2.891426378	0.349790579	0	0.019005246	0	0.262102604	68.9928127	Human	BaAka	Human	BaAka
HU537_S11	37.29119141	3.181376423	1.723375026	0	0	0	0	57.80405714	Human	BaAka	Human	BaAka
HU538_S12	53.95264533	5.684966629	1.325677254	0	0	0	0.043373848	38.99333694	Human	BaAka	Human	BaAka
HU539_S13	0.160927942	0.022002692	0.020947227	0	0	0.000427186	0	99.79569495	Human	BaAka	Human	BaAka
HU540_S14	94.43346933	3.647747208	0	0	0	0	0	1.918783459	Human	BaAka	Human	BaAka
HU100_S17	3.017187779	0.321260818	0	0	0.006094029	0	0	96.65545737	Human	Bantu	Human	Bantu
HU101_S15	0.169227715	0.02055889	0	0	0	0.000950253	0.003039878	99.80622326	Human	Bantu	Human	Bantu
HU103_S22	70.76121557	6.212203131	0	0	0	0	0	23.0265813	Human	Bantu	Human	Bantu
HU108_S18	11.08880766	0.517007188	0	0	1.118319335	0	6.170784079	81.10508173	Human	Bantu	Human	Bantu
HU109_S19	2.520574588	3.137326942	0	0	0	0	0	94.34209847	Human	Bantu	Human	Bantu
HU114_S27	0.011525958	0.002052268	0.004408475	0	3.58E-05	0.000465682	0	99.98151179	Human	Bantu	Human	Bantu
HU115_S28	32.79421936	4.809050823	0	0	0	0	0	62.39672982	Human	Bantu	Human	Bantu
HU119_S20	59.23536028	7.648562553	0.565235857	0	0.255165646	0	1.067237608	31.22843806	Human	Bantu	Human	Bantu
HU124_S23	65.91588107	8.493577254	0.712047574	0	0	0	0	24.8784941	Human	Bantu	Human	Bantu
HU502_S24	47.09488718	17.88565438	0	0	0	0	14.21449567	20.80496277	Human	Bantu	Human	Bantu
HU504_S25	81.89778366	4.123688959	1.439166887	0	0	0	0.926165773	11.61319473	Human	Bantu	Human	Bantu
HU505_S21	0.024087124	0.004488051	0.000626651	0	0	0.000502228	0	99.97029595	Human	Bantu	Human	Bantu
HU508_S26	16.30781421	1.975735822	0	0.154234831	1.219178482	0	2.013460137	78.32957652	Human	Bantu	Human	Bantu
HU99_S16	4.089248689	0.438317902	0	0	0	0	0	95.47243341	Human	Bantu	Human	Bantu
X2009_106	30.78566412	8.9455697	5.497575795	5.411535913	9.011033901	5.692267744	34.65635283	0	Gorilla	Dry	Habituated	Gorilla
X2009_107	2.143742059	8.502955564	7.281349089	12.66051133	63.6370615	3.440599193	2.333781271	0	Gorilla	Dry	Habituated	Gorilla
X2009_109	0.978525896	4.847348148	5.2408858	2.669215989	78.06088432	0.09507013	8.108069718	0	Gorilla	Dry	Unhabituated	Gorilla
X2009_110	1.79754618	3.988117882	7.157581868	7.231430796	70.78256048	0.224448787	8.818314001	0	Gorilla	Dry	Unhabituated	Gorilla
X2009_111	0.877767303	3.076408869	33.61541686	1.082203333	33.00860635	6.18693893	22.15265836	0	Gorilla	Dry	Unhabituated	Gorilla
X2009_115	3.134834654	10.13320367	3.533105216	2.83620971	70.80183389	0.048428698	9.512384163	0	Gorilla	Dry	Unhabituated	Gorilla
X2009_118	22.66630939	3.185282813	6.566609187	6.878398623	2.768491293	6.483304136	51.45160456	0	Gorilla	Dry	Habituated	Gorilla
X2009_173	2.656458977	3.057404551	2.927264501	1.052965847	19.05303518	4.682611605	66.57025934	0	Gorilla	Dry	Habituated	Gorilla
X2009_193	0.215861945	1.501934748	0.34123868	0.645349294	22.82307509	1.656850333	72.81568991	0	Gorilla	Dry	Unhabituated	Gorilla
X2009_245	7.047056737	3.442643655	1.338999879	4.230374727	38.37513431	0.017707014	45.54808367	0	Gorilla	Dry	Habituated	Gorilla
X2009_265	1.262720252	2.18135431	0.609121966	16.55201871	75.46408441	0.222226405	3.708438287	3.57E-05	Gorilla	Dry	Habituated	Gorilla
X2011_109	0.263958494	3.115965374	1.261986327	1.373620512	1.915614339	16.36019696	75.70865799	0	Gorilla	Wet	Unhabituated	Gorilla
X2011_118	0.801272553	0.043051721	2.238574755	23.03058457	21.07505057	0.207664345	52.59720942	0.006592073	Gorilla	Wet	Unhabituated	Gorilla
X2011_119	0.479243157	2.507821523	1.372024819	1.7703446	11.60854951	4.260357434	77.88269989	0.118959065	Gorilla	Wet	Unhabituated	Gorilla
X2011_149	0.147125147	1.19007589	4.891088818	0.070231	9.253110192	1.330984694	83.10768055	0.009703712	Gorilla	Wet	Unhabituated	Gorilla
X2011_56	0.361462104	0.724397199	2.087096846	0.745648584	15.40071592	8.849748855	71.83093049	0	Gorilla	Wet	Habituated	Gorilla
X2011_60	1.068436333	0.367846722	7.398686726	1.877860199	4.624504495	8.925957217	75.73670831	0	Gorilla	Wet	Habituated	Gorilla
X2011_62	2.806485613	2.311700753	0.474467633	0.431444701	2.460479596	0.080815943	91.43389388	0.000711883	Gorilla	Wet	Habituated	Gorilla
X2011_66	1.22870204	1.138980115	12.99010443	3.318142312	6.123026788	3.34406515	71.85205945	0.004919715	Gorilla	Wet	Habituated	Gorilla
X2011_69	1.265644576	0.217690719	23.53143222	1.911542504	1.081573502	62.39719999	9.594916486	0	Gorilla	Wet	Unhabituated	Gorilla
X2011_70	0.570865834	1.366360557	21.08816862	0.97436811	2.35670167	1.219252248	72.42428296	0	Gorilla	Wet	Unhabituated	Gorilla
X2011_79	0.186375154	7.004757865	8.569267513	2.982023714	3.7189575	1.553087638	75.98553062	0	Gorilla	Wet	Habituated	Gorilla
X2011_85	0.747986216	0.259459366	2.512594827	0.324281694	7.777141569	1.521061147	86.85747518	0	Gorilla	Wet	Habituated	Gorilla
