Sample	X2009_106	X2009_107	X2009_109	X2009_110	X2009_111	X2009_115	X2009_118	X2009_173	X2009_193	X2009_245	X2009_265	X2011_109	X2011_118	X2011_119	X2011_149	X2011_56	X2011_60	X2011_62	X2011_66	X2011_69	X2011_70	X2011_79	X2011_85	HU100_S17	HU101_S15	HU103_S22	HU107_S1	HU108_S18	HU109_S19	HU112_S2	HU113_S3	HU114_S27	HU115_S28	HU117_S4	HU118_S5	HU119_S20	HU122_S6	HU123_S7	HU124_S23	HU500_S8	HU502_S24	HU503_S9	HU504_S25	HU505_S21	HU506_S10	HU508_S26	HU537_S11	HU538_S12	HU539_S13	HU540_S14	HU99_S16
Synthesis.and.degradation.of.ketone.bodies	7.40E-05	7.76E-05	0.000134436	0.000106854	0.000111767	9.12E-05	0.000109615	0.000107175	8.82E-05	8.58E-05	8.58E-05	0.000129034	0.00012975	0.000113946	0.000136298	0.000123201	0.000134456	0.000109789	0.000110239	0.000118439	0.000130389	7.26E-05	0.000128727	0.000106884	0.000143809	9.22E-05	5.39E-05	0.000232692	0.000107419	7.03E-05	6.06E-05	8.61E-05	9.63E-05	5.86E-05	5.70E-05	0.000114779	7.02E-05	5.64E-05	0.000123888	6.77E-05	5.81E-05	6.52E-05	0.000111743	5.84E-05	4.57E-05	6.70E-05	6.61E-05	5.05E-05	4.75E-05	5.89E-05	8.23E-05
Glycerophospholipid.metabolism	0.006116467	0.006488993	0.00554328	0.005384842	0.005616315	0.005685215	0.005607995	0.006485883	0.005660296	0.005511028	0.005953805	0.005994371	0.005599825	0.004953191	0.006208497	0.005733685	0.005661586	0.005770205	0.005806478	0.005976712	0.005881085	0.006374494	0.005291659	0.007337303	0.006096645	0.006926188	0.007192716	0.008397903	0.006407465	0.007196025	0.007124631	0.006379426	0.006681652	0.006995018	0.007429011	0.007113266	0.006182622	0.007332905	0.005978886	0.006648118	0.00589464	0.006935017	0.008079284	0.006435622	0.006890581	0.007316704	0.006776049	0.006627961	0.00662657	0.008115249	0.006398467
Glycerolipid.metabolism	0.001731662	0.002127902	0.001836661	0.001625388	0.001498051	0.001869798	0.001878365	0.001931965	0.001450143	0.001681849	0.001648863	0.001792593	0.001456633	0.001432485	0.002194925	0.001752503	0.001882359	0.002149639	0.002365046	0.002273125	0.002243292	0.002401873	0.001596354	0.00253291	0.00254746	0.002315827	0.002103633	0.003657525	0.002999911	0.002239817	0.00228419	0.002011942	0.0022139	0.002247782	0.002204723	0.002261452	0.002042308	0.002136335	0.001978354	0.001896452	0.003565994	0.001757607	0.0020672	0.001757542	0.001833738	0.002073234	0.002091017	0.002229461	0.001903706	0.002458718	0.002454891
Sphingolipid.metabolism	0.00075832	0.000812527	0.000559076	0.000566165	0.000546844	0.000544286	0.00061194	0.000654266	0.000608559	0.000573285	0.000709769	0.000713197	0.000534894	0.000701268	0.000746801	0.000635412	0.000540964	0.000599389	0.000552147	0.000679884	0.001020038	0.000611969	0.000609041	0.000617584	0.000808121	0.000727094	0.001066582	0.001114013	0.000884234	0.000924795	0.001151637	0.000485704	0.000656289	0.001143852	0.001139018	0.000461382	0.000762803	0.001282378	0.000691038	0.000857132	0.001235868	0.000896044	0.001464195	0.00060899	0.001289096	0.000816078	0.000967473	0.001063358	0.001078407	0.001598466	0.000899553
Arachidonic.acid.metabolism	0.000132651	7.02E-05	8.20E-05	5.49E-05	9.80E-05	4.54E-05	8.29E-05	0.000129638	5.40E-05	6.62E-05	7.75E-05	4.87E-05	5.02E-05	3.53E-05	6.55E-05	7.36E-05	5.78E-05	8.77E-05	7.99E-05	6.69E-05	5.07E-05	0.000115381	6.95E-05	0.000125952	6.92E-05	0.000193348	0.000445834	0.000266293	4.04E-05	0.000290461	0.000252096	0.000113527	0.000136119	0.000279123	0.00029438	0.000188996	0.000174078	0.000338811	0.000151472	0.000280817	0.000384013	0.000263627	0.000220652	0.000104023	0.000337876	9.68E-05	0.000167364	0.000226481	0.000211069	0.000244639	0.00010788
Linoleic.acid.metabolism	5.78E-05	5.06E-05	8.05E-05	7.07E-05	6.62E-05	6.05E-05	9.41E-05	6.16E-05	7.99E-05	6.59E-05	5.19E-05	4.61E-05	5.98E-05	8.52E-05	7.80E-05	7.97E-05	9.79E-05	8.63E-05	0.000112487	0.000124555	7.92E-05	7.87E-05	9.08E-05	5.67E-05	7.01E-05	8.92E-05	0.000191503	7.89E-05	2.36E-05	0.000150494	0.000140247	5.93E-05	8.18E-05	0.000144115	0.000159274	7.31E-05	9.27E-05	0.000105951	8.44E-05	0.000120804	0.000111059	0.000140421	0.000186565	8.79E-05	0.000146201	9.22E-05	0.000115206	0.000112134	0.000142845	5.00E-05	0.000102417
Ether.lipid.metabolism	7.77E-06	7.12E-06	2.12E-05	1.92E-05	1.25E-05	1.67E-05	1.19E-05	5.44E-06	1.75E-05	7.24E-06	4.37E-06	2.00E-05	1.42E-05	8.97E-06	1.02E-05	1.68E-05	1.50E-05	1.46E-05	1.57E-05	3.53E-05	2.34E-05	1.59E-05	1.01E-05	1.78E-05	6.04E-05	7.10E-06	2.57E-05	3.48E-05	1.20E-06	6.86E-06	6.39E-06	6.91E-05	4.69E-05	4.13E-06	2.86E-06	5.24E-05	4.27E-05	5.86E-06	3.53E-05	3.83E-05	6.16E-06	4.70E-05	3.78E-05	2.03E-05	3.33E-06	6.83E-05	3.91E-05	1.59E-05	1.82E-05	9.04E-06	6.40E-06
Fatty.acid.degradation	0.000512439	0.000478321	0.000554365	0.000517286	0.00066853	0.000502241	0.000505217	0.000465317	0.000582953	0.000467556	0.000516545	0.000532271	0.000520745	0.000563751	0.000507953	0.000513328	0.000423875	0.000404024	0.000383694	0.000372347	0.00063143	0.000407185	0.000484258	0.000694549	0.000497231	0.00045718	0.000740914	0.000675503	0.000329209	0.00058599	0.00062224	0.000642719	0.00065868	0.000574021	0.000559003	0.000725908	0.000583894	0.000829736	0.000751515	0.000641954	0.000367733	0.000768776	0.000790089	0.000621773	0.000702566	0.000791882	0.000532152	0.00056879	0.00067376	0.000610712	0.000505317
Fatty.acid.biosynthesis	0.002641683	0.002602322	0.002024312	0.001994313	0.002187294	0.001913018	0.002213419	0.00250784	0.002399145	0.001924506	0.002263104	0.00232091	0.00213789	0.001865871	0.00221059	0.002058362	0.001970392	0.002246048	0.002198267	0.001988115	0.002378076	0.002584586	0.002390708	0.002360713	0.00268666	0.003000717	0.00304146	0.003131886	0.003290923	0.003049204	0.003021893	0.00287465	0.002726916	0.003356476	0.00328102	0.002078028	0.002794515	0.003079647	0.002393232	0.002819376	0.003487699	0.002676039	0.002884353	0.002881008	0.003268184	0.003190115	0.003034121	0.003198925	0.003196715	0.00329342	0.003110062
Fatty.acid.elongation	0	0	0	0	0	0	0	0	0	0	0	0	2.89E-06	0	0	0	0	0	5.26E-08	0	1.72E-07	0	0	1.19E-07	5.21E-08	0	0	1.37E-07	0	0	0	0	0	1.57E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
