Pathway	X2009_106	X2009_107	X2009_109	X2009_110	X2009_111	X2009_115	X2009_118	X2009_173	X2009_193	X2009_245	X2009_265	X2011_109	X2011_118	X2011_119	X2011_149	X2011_56	X2011_60	X2011_62	X2011_66	X2011_69	X2011_70	X2011_79	X2011_85	HU100_S17	HU101_S15	HU103_S22	HU107_S1	HU108_S18	HU109_S19	HU112_S2	HU113_S3	HU114_S27	HU115_S28	HU117_S4	HU118_S5	HU119_S20	HU122_S6	HU123_S7	HU124_S23	HU500_S8	HU502_S24	HU503_S9	HU504_S25	HU505_S21	HU506_S10	HU508_S26	HU537_S11	HU538_S12	HU539_S13	HU540_S14	HU99_S16
Fatty acid degradation	4.89756334136004e-05	5.2172713177196e-05	6.37992391733211e-05	4.43366449105849e-05	5.90469887227e-05	5.92261812026102e-05	5.88213213890471e-05	4.71747705271759e-05	5.42268193953869e-05	4.84694821368803e-05	4.8575867280886e-05	5.13597501055576e-05	4.40937709940623e-05	4.32368203969391e-05	5.25534208012163e-05	5.78995179160506e-05	4.73462069238785e-05	4.65200508837292e-05	4.80327804344651e-05	4.27514888424102e-05	7.76463964245497e-05	4.91701582897824e-05	4.99760631004982e-05	0.000113392608368653	8.09452101867495e-05	7.30857002813196e-05	0.000113065583869036	0.000141549268951658	5.80215501236127e-05	8.18476394065704e-05	9.33425247651122e-05	0.000101920288509772	0.000112186466953594	8.57352173115788e-05	8.39278763525936e-05	0.000114832756701556	8.38350219093955e-05	0.000129035911307948	0.000109313960867487	8.30139263973074e-05	7.27206353818112e-05	0.00010691722283862	0.000130657314090254	8.67171723552619e-05	9.94253716049839e-05	0.000108541305065487	8.52638811945693e-05	8.31603730339857e-05	0.000104677188644644	9.73622972378712e-05	8.54006677665935e-05
Fatty acid biosynthesis	0.000252474966514488	0.000283847285196211	0.000232968554429784	0.000170932759113203	0.000193189840995832	0.000225590262304599	0.000257703326161398	0.000254249938206853	0.000223170571301844	0.000199504982991256	0.000212822120404402	0.000223948856129372	0.00018102464752677	0.000143102711183173	0.000228710366432896	0.000232167869343007	0.000220090129244904	0.000258614087388575	0.000275190633037839	0.00022826784683593	0.000292429923749533	0.00031210474705705	0.000246723997037829	0.000385411828449769	0.000437366449551616	0.000479700254743613	0.000464135689337378	0.000656275357843973	0.000580010521257396	0.000425894932264685	0.000453315269533572	0.000455852420418659	0.000464448372653351	0.000501319946234844	0.00049260785953073	0.00032872701310478	0.000401233960596643	0.000478929509471798	0.00034811493098838	0.000364586161275902	0.000689705697917034	0.000372168949197228	0.000476986465882651	0.000401806909640671	0.000462505382408199	0.000437261105469644	0.000486141570329875	0.000467701292324702	0.000496650473730664	0.000525050878322892	0.000525613507887195
Fatty acid elongation	0	0	0	0	0	0	0	0	0	0	0	0	2.44331550099824e-07	0	0	0	0	0	6.57980831587569e-09	0	2.11676425719625e-08	0	0	1.93777503821015e-08	8.483008721699e-09	0	0	2.87861124272332e-08	0	0	0	0	0	2.35146402952113e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fatty acid metabolism	0.000290692346713794	0.000322833510702922	0.000281817493962756	0.000204288834514283	0.000234944300308707	0.000267709190224624	0.000303359918275494	0.000287333812759852	0.000260476001613985	0.000234254214554111	0.000248744193825081	0.000264535878566742	0.000213254438847375	0.000174513949947262	0.000267636124109241	0.000276403386023184	0.000255675088905045	0.000291678713254799	0.000310273067026885	0.000256753849383051	0.000347605570951294	0.000348054528501767	0.000284514950240033	0.000445779805952572	0.000470169128187812	0.000520054064679866	0.000551533608974056	0.000734246664440337	0.000613345497379497	0.000490092135260999	0.000522861930549481	0.000515952245539227	0.000527400493488738	0.000568979199191257	0.000558021688888411	0.000386528424767453	0.000449527865071687	0.000563488266293693	0.000402416593511241	0.000420412916947493	0.000733275684083935	0.00043992355036584	0.000572641302270875	0.000461756228566624	0.000543789833964134	0.000489629296350724	0.000545918719144025	0.000532224804431268	0.000573933297858595	0.000603490055251784	0.000567575613598453
Synthesis and degradation of ketone bodies	7.06772966596691e-06	8.46164778683414e-06	1.54715529513185e-05	9.15844187779409e-06	9.87165240188104e-06	1.07566355455111e-05	1.27621821525359e-05	1.08656496228204e-05	8.206637596603e-06	8.89958707583447e-06	8.07068932238034e-06	1.24507559543762e-05	1.09865053627527e-05	8.73907606506606e-06	1.41015916845165e-05	1.38961225867782e-05	1.5018530339839e-05	1.26413234265359e-05	1.38003551373625e-05	1.35987447506736e-05	1.60338019871391e-05	8.76109541405523e-06	1.3284753387235e-05	1.74499997645436e-05	2.3410998620951e-05	1.47407202423138e-05	8.21908547434634e-06	4.87598144802491e-05	1.89321981828598e-05	9.81303496921611e-06	9.09303958559097e-06	1.36611462156103e-05	1.63985072339378e-05	8.75416465847439e-06	8.55300531430296e-06	1.81570685290248e-05	1.00859125806209e-05	8.77404447199605e-06	1.80204850962403e-05	8.75858646067005e-06	1.14880570235685e-05	9.07200239356525e-06	1.84790290033857e-05	8.149030770805e-06	6.46099635518338e-06	9.18671512506233e-06	1.05836909193701e-05	7.38681663710105e-06	7.38614684833118e-06	9.39717069646985e-06	1.39030366275012e-05
Glycerophospholipid metabolism	0.000584572296684157	0.000707784291821288	0.000637950010787671	0.000461535392656882	0.000496053574899681	0.000670421996141071	0.00065292614210575	0.000657551978836276	0.000526525695970114	0.00057130377960305	0.000559895202834238	0.000578407692873211	0.000474161971154484	0.000379884303192974	0.000642338846831228	0.000646716773733844	0.000632391362617881	0.000664392053259931	0.000726885581212071	0.000686223513120032	0.000723192027388313	0.000769759686739852	0.000546105727949421	0.00119789377312075	0.000992484257864783	0.00110723327975403	0.00109762929876668	0.00175975033346978	0.00112928703936227	0.00100509853020159	0.00106876842946314	0.00101162804812374	0.00113801929227868	0.00104476882890732	0.00111538151658793	0.00112526033682294	0.000887695365536767	0.00114037248796194	0.000869677345553069	0.000859698005088628	0.00116568724591511	0.000964484490356914	0.0013360738903043	0.000897559929959149	0.000975138001036109	0.00100288249173413	0.00108569124468871	0.000969046250631817	0.00102952220872964	0.00129376707642598	0.00108136755175714
Glycerolipid metabolism	0.000165501070546415	0.00023210008207893	0.000211372673664606	0.000139312155494355	0.0001323133719964	0.000220493655709126	0.000218693719951838	0.00019586657621662	0.000134893557269131	0.000174349852602265	0.00015505888965191	0.000172970559599418	0.000123339575824663	0.000109864254488537	0.000227089720606563	0.000197669165633232	0.000210256899568068	0.000247513364528143	0.000296068947797028	0.0002609916467654	0.000275855710014836	0.00029004105036147	0.000164745721277602	0.000413524921902983	0.000414705848334211	0.000370212347743604	0.000321020538192718	0.00076642127814803	0.000528720868941427	0.000312844548205584	0.000342652143194205	0.000319047025437337	0.000377071524787509	0.00033572653075963	0.00033101402030132	0.0003577432014242	0.000293232705521383	0.00033223084939696	0.00028776751763161	0.000245238717655845	0.000705188744679542	0.000244438473731962	0.000341853591881401	0.000245120013776326	0.0002595060734076	0.000284173025123293	0.000335032877328277	0.00032596014367286	0.000295765032409088	0.000391979076097226	0.000414886832117812
Ether lipid metabolism	7.42429280266493e-07	7.76871748321081e-07	2.44272737171698e-06	1.64237239923352e-06	1.1071806777048e-06	1.97401816435966e-06	1.3830537880604e-06	5.51034731343073e-07	1.62483406556527e-06	7.50748860398853e-07	4.11354749894719e-07	1.93105711519428e-06	1.20000811947762e-06	6.87636697259949e-07	1.05138963452275e-06	1.89658129758257e-06	1.67678237478232e-06	1.67707052138129e-06	1.96855901523153e-06	4.05122593005543e-06	2.8787993897869e-06	1.9158897714189e-06	1.04071339588241e-06	2.90225852313747e-06	9.83514889976372e-06	1.13462088564226e-06	3.91984163413921e-06	7.29019038306406e-06	2.11699883644829e-07	9.58266995157813e-07	9.58466097147482e-07	1.09601422882716e-05	7.99553316767504e-06	6.16724884106225e-07	4.29667070330988e-07	8.28272075138617e-06	6.12752769317855e-06	9.120018020748e-07	5.13815899759185e-06	4.94691027338317e-06	1.21848908641623e-06	6.53165330617332e-06	6.25649543272078e-06	2.82433538136142e-06	4.70779166912027e-07	9.35884937640858e-06	6.25833662288194e-06	2.33126594857199e-06	2.82996036883971e-06	1.44161977184812e-06	1.08092571033937e-06
Sphingolipid metabolism	7.24753473135452e-05	8.86260192742875e-05	6.43414684103426e-05	4.85260301233726e-05	4.82992689187997e-05	6.41842277276187e-05	7.12468211072456e-05	6.63308057854224e-05	5.66087227117549e-05	5.94299336750834e-05	6.67465733694381e-05	6.88176655322418e-05	4.52918528448336e-05	5.37836549114357e-05	7.72649507843631e-05	7.16697376209914e-05	6.04248970092715e-05	6.90147265544533e-05	6.91206869701431e-05	7.80617328451259e-05	0.000125433195805235	7.38991057303566e-05	6.28538273985796e-05	0.00010082727967567	0.000131555527499589	0.000116234669583293	0.000162763483028607	0.000233437326759161	0.000155842302291881	0.000129169912342461	0.000172757523597726	7.70213009530644e-05	0.000111779111255493	0.000170844550217572	0.000171010563042236	7.29867692334532e-05	0.000109522603742883	0.000199428215290291	0.0001005170783103	0.000110839543173691	0.000244397607724596	0.000124616990774458	0.000242134384765055	8.4934367601618e-05	0.000182429658972416	0.000111857767813931	0.000155013197614125	0.000155469128906008	0.000167544253236298	0.000254834183151885	0.000152028204167055
Arachidonic acid metabolism	1.26779329565703e-05	7.66182102003256e-06	9.44221950669049e-06	4.70529027624564e-06	8.65981962325238e-06	5.35275895251486e-06	9.64963972493611e-06	1.31429229840611e-05	5.02179154424228e-06	6.86521648825438e-06	7.28925671864135e-06	4.69739145592386e-06	4.2482761673053e-06	2.71051833461565e-06	6.7760863692632e-06	8.30501947810319e-06	6.45709339942675e-06	1.00962282358459e-05	1.00046583607282e-05	7.67767021550314e-06	6.23290857187151e-06	1.39329231614104e-05	7.17697614705028e-06	2.05629640600177e-05	1.12594717702241e-05	3.09088978396062e-05	6.80356034832646e-05	5.5800718902825e-05	7.11198198394673e-06	4.05698277777538e-05	3.78169644815947e-05	1.80026881559188e-05	2.31837233672788e-05	4.16895333182945e-05	4.41978347203329e-05	2.98976776551964e-05	2.49940021544676e-05	5.26899275766292e-05	2.20327906306715e-05	3.63137163450552e-05	7.5940068663438e-05	3.66637876833506e-05	3.64892967319421e-05	1.45078418561867e-05	4.78153189530313e-05	1.32633703692619e-05	2.68158247182485e-05	3.31128427974308e-05	3.27923152015756e-05	3.90013067133369e-05	1.82321929219525e-05
