Samples	Group	Group1	Group2
2009_106	Gorilla	Dry	Habituated
2009_107	Gorilla	Dry	Habituated
2009_109	Gorilla	Dry	Unhabituated
2009_110	Gorilla	Dry	Unhabituated
2009_111	Gorilla	Dry	Unhabituated
2009_115	Gorilla	Dry	Unhabituated
2009_118	Gorilla	Dry	Habituated
2009_173	Gorilla	Dry	Habituated
2009_193	Gorilla	Dry	Unhabituated
2009_245	Gorilla	Dry	Habituated
2009_265	Gorilla	Dry	Habituated
2011_109	Gorilla	Wet	Unhabituated
2011_118	Gorilla	Wet	Unhabituated
2011_119	Gorilla	Wet	Unhabituated
2011_149	Gorilla	Wet	Unhabituated
2011_56	Gorilla	Wet	Habituated
2011_60	Gorilla	Wet	Habituated
2011_62	Gorilla	Wet	Habituated
2011_66	Gorilla	Wet	Habituated
2011_69	Gorilla	Wet	Unhabituated
2011_70	Gorilla	Wet	Unhabituated
2011_79	Gorilla	Wet	Habituated
2011_85	Gorilla	Wet	Habituated
HU100_S17	Human	Bantu	Human
HU101_S15	Human	Bantu	Human
HU103_S22	Human	Bantu	Human
HU107_S1	Human	BaAka	Human
HU108_S18	Human	Bantu	Human
HU109_S19	Human	Bantu	Human
HU112_S2	Human	BaAka	Human
HU113_S3	Human	BaAka	Human
HU114_S27	Human	Bantu	Human
HU115_S28	Human	Bantu	Human
HU117_S4	Human	BaAka	Human
HU118_S5	Human	BaAka	Human
HU119_S20	Human	Bantu	Human
HU122_S6	Human	BaAka	Human
HU123_S7	Human	BaAka	Human
HU124_S23	Human	Bantu	Human
HU500_S8	Human	BaAka	Human
HU502_S24	Human	Bantu	Human
HU503_S9	Human	BaAka	Human
HU504_S25	Human	Bantu	Human
HU505_S21	Human	Bantu	Human
HU506_S10	Human	BaAka	Human
HU508_S26	Human	Bantu	Human
HU537_S11	Human	BaAka	Human
HU538_S12	Human	BaAka	Human
HU539_S13	Human	BaAka	Human
HU540_S14	Human	BaAka	Human
HU99_S16	Human	Bantu	Human
