BinID	Size (MB)	Total Length (bp)	No of Scaffold	GC Content (%)	N50	No. of CDS	No. of rRNA	No of tRNA	Coding Ratio (%)	Taxa
Bin.38	1.5	1,544,863	98	47.2	24,026	1,129	0	26	81.2	Prevotella
Bin.47	1.1	1,161,118	220	53.6	5,893	731	0	6	66.8	Prevotella
Bin.89	1.9	1,995,606	334	52	6,931	1,264	0	19	65.6	Prevotella
Bin.126	2.3	2,415,578	178	47	18,479	1,724	0	48	82.7	Prevotella
Bin.148	2.6	2,670,386	176	48.4	22,992	1,925	0	45	81.5	Prevotella
Bin.460	2	2,053,999	309	55.6	8,163	1,323	0	42	72.2	Prevotella
Bin.571	1	1,075,429	9	44.1	131,859	857	0	22	89.3	Prevotella
Bin.487	2.2	2,260,008	167	37.7	22,067	1,846	2	53	83.3	Treponema
Bin.52	1.9	1,978,856	222	38.5	11,808	1,504	0	35	76.8	Treponema
Bin.174	1.1	1,165,773	231	34.1	5,465	807	0	24	68.3	Treponema
Bin.191	3.3	3,401,735	194	40.1	94,184	2,969	1	53	84.6	Treponema
Bin.217	2	2,089,926	194	43	15,606	1,646	1	39	81	Treponema
Bin.245	1.8	1,870,438	263	37.5	8,429	1,323	0	37	72.3	Treponema
Bin.372	1.6	1,647,197	228	34	9,031	1,222	0	35	76	Treponema
Bin.478	1	1,006,548	220	34.3	4,774	753	0	21	69.1	Treponema
Bin.633	1.6	1,662,231	296	38.3	6,241	1,132	0	28	71	Treponema
Bin.678	1.4	1,452,381	290	42.1	5,392	1,016	0	23	70	Treponema
Bin.727	1.5	1,578,775	255	42.5	7,522	1,129	0	41	72.1	Treponema
